Protein_ID	Taxon_ID
AKT1_HUMAN	9606
CRP_HUMAN	9606
Ctnnb1_HUMAN	9606
Ctnnb1_HUMAN	9606
Ctnnb1_HUMAN	9606
Ctnnb1_HUMAN	9606
Cx3cl1_HUMAN	9606
Cx3cl1_HUMAN	9606
CXCL8_HUMAN	9606
CXCL8_HUMAN	9606
Edn1_HUMAN	9606
Edn1_HUMAN	9606
Edn1_HUMAN	9606
Gsk3b_HUMAN	9606
Gsk3b_HUMAN	9606
Gsk3b_HUMAN	9606
Ifng_HUMAN	9606
Ifng_HUMAN	9606
Il10_HUMAN	9606
IL12A_HUMAN	9606
IL6_HUMAN	9606
MMP2_HUMAN	9606
MMP2_HUMAN	9606
MMP9_HUMAN	9606
MUC16_HUMAN	9606
MUC16_HUMAN	9606
PTX3_HUMAN	9606
Tnf_HUMAN	9606
Tnf_HUMAN	9606
Tnf_HUMAN	9606
Tnf_HUMAN	9606
Tnf_HUMAN	9606
Tnf_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1A_HUMAN	9606
TNFRSF1B_HUMAN	9606
TNFRSF1B_HUMAN	9606
TNFRSF1B_HUMAN	9606
Wnt5a_HUMAN	9606
Wnt5a_HUMAN	9606
Wnt5a_HUMAN	9606
Wnt5a_HUMAN	9606
Yap1_HUMAN	9606
AARS1_HUMAN	9606
ACAA2_HUMAN	9606
ACADM_HUMAN	9606
ACADVL_HUMAN	9606
ACADVL_HUMAN	9606
ACAT1_HUMAN	9606
ACTA1_HUMAN	9606
ACTC1_HUMAN	9606
ACTN2_HUMAN	9606
ACTR3_HUMAN	9606
Aif1_HUMAN	9606
Aif1_HUMAN	9606
Aif1_HUMAN	9606
Aif1_HUMAN	9606
AK1_HUMAN	9606
AKT2_HUMAN	9606
ALDH4A1_HUMAN	9606
ALDOA_HUMAN	9606
ALDOC_HUMAN	9606
ANXA1_HUMAN	9606
ANXA2_HUMAN	9606
ANXA5_HUMAN	9606
APOA1_HUMAN	9606
ATP5PB_HUMAN	9606
ATP5PD_HUMAN	9606
ATPAF1_HUMAN	9606
AVP_HUMAN	9606
AVP_HUMAN	9606
AVP_HUMAN	9606
BLK_HUMAN	9606
BLVRB_HUMAN	9606
Bmp2_HUMAN	9606
Bmp2_HUMAN	9606
CAT_HUMAN	9606
CAT_HUMAN	9606
CHCHD3_HUMAN	9606
CKM_HUMAN	9606
CKMT2_HUMAN	9606
COL18A1_HUMAN	9606
COL18A1_HUMAN	9606
COL18A1_HUMAN	9606
