Protein_ID	Taxon_ID
T1I4P6_RHOPR	13249
T1I4R3_RHOPR	13249
T1HYJ2_RHOPR	13249
T1HJL2_RHOPR	13249
T1HU11_RHOPR	13249
T1HR08_RHOPR	13249
T1HR27_RHOPR	13249
R4G3W4_RHOPR	13249
T1IE50_RHOPR	13249
T1HA15_RHOPR	13249
T1HS26_RHOPR	13249
T1HS28_RHOPR	13249
T1I3U4_RHOPR	13249
T1HYA1_RHOPR	13249
T1I432_RHOPR	13249
T1HDS9_RHOPR	13249
R4FKR6_RHOPR	13249
T1HMI2_RHOPR	13249
T1HDW7_RHOPR	13249
C6K794_RHOPR	13249
T1HRF8_RHOPR	13249
T1HJ12_RHOPR	13249
R4FLB0_RHOPR	13249
R4FM00_RHOPR	13249
T1HXY6_RHOPR	13249
T1IC97_RHOPR	13249
T1ID59_RHOPR	13249
T1HK81_RHOPR	13249
T1I0A7_RHOPR	13249
T1HRN8_RHOPR	13249
T1I3M9_RHOPR	13249
T1I3N0_RHOPR	13249
T1I8D1_RHOPR	13249
T1I6I2_RHOPR	13249
T1HDQ5_RHOPR	13249
R4G3R1_RHOPR	13249
R4FMV0_RHOPR	13249
T1I5M4_RHOPR	13249
T1IGB9_RHOPR	13249
T1HEP6_RHOPR	13249
T1HER6_RHOPR	13249
T1HA42_RHOPR	13249
T1HUW1_RHOPR	13249
T1I8C9_RHOPR	13249
T1H9K3_RHOPR	13249
T1HQ62_RHOPR	13249
T1HZ51_RHOPR	13249
T1HWX6_RHOPR	13249
T1I2S8_RHOPR	13249
T1H927_RHOPR	13249
T1HSX1_RHOPR	13249
T1I8D5_RHOPR	13249
T1HKM6_RHOPR	13249
T1I575_RHOPR	13249
T1I6F4_RHOPR	13249
T1I4S0_RHOPR	13249
R4G3L6_RHOPR	13249
T1I567_RHOPR	13249
T1I8G8_RHOPR	13249
T1IER6_RHOPR	13249
T1H7U4_RHOPR	13249
T1HA35_RHOPR	13249
T1HWB5_RHOPR	13249
T1I881_RHOPR	13249
T1HIY8_RHOPR	13249
T1HE81_RHOPR	13249
T1H9U6_RHOPR	13249
T1HSV6_RHOPR	13249
T1HQQ1_RHOPR	13249
T1IA16_RHOPR	13249
T1ICF6_RHOPR	13249
T1I9L7_RHOPR	13249
T1I0R1_RHOPR	13249
T1I8W7_RHOPR	13249
T1I2C4_RHOPR	13249
T1I8B8_RHOPR	13249
T1HQZ6_RHOPR	13249
T1H9L4_RHOPR	13249
T1HG89_RHOPR	13249
T1I837_RHOPR	13249
T1I774_RHOPR	13249
T1HS49_RHOPR	13249
T1IEC0_RHOPR	13249
T1HVE1_RHOPR	13249
T1HJI4_RHOPR	13249
T1I979_RHOPR	13249
T1HRB6_RHOPR	13249
T1I8Y4_RHOPR	13249
T1HGD3_RHOPR	13249
T1IE13_RHOPR	13249
T1HQ43_RHOPR	13249
T1I847_RHOPR	13249
T1I361_RHOPR	13249
T1HE11_RHOPR	13249
T1I888_RHOPR	13249
T1HDQ6_RHOPR	13249
T1HWX7_RHOPR	13249
T1H9Q4_RHOPR	13249
T1HJ03_RHOPR	13249
T1HFX2_RHOPR	13249
T1HXU3_RHOPR	13249
T1I2V7_RHOPR	13249
T1HH30_RHOPR	13249
T1I523_RHOPR	13249
T1I8N5_RHOPR	13249
T1I9L8_RHOPR	13249
T1HG95_RHOPR	13249
T1I4V5_RHOPR	13249
T1HUE9_RHOPR	13249
T1HGJ8_RHOPR	13249
T1I7K8_RHOPR	13249
T1HQM7_RHOPR	13249
T1IFB7_RHOPR	13249
T1HGC0_RHOPR	13249
T1IBH6_RHOPR	13249
T1I1I6_RHOPR	13249
T1I1I4_RHOPR	13249
T1I2Q5_RHOPR	13249
T1ID51_RHOPR	13249
T1HLX6_RHOPR	13249
T1HGE5_RHOPR	13249
T1HMR4_RHOPR	13249
T1HE07_RHOPR	13249
T1I866_RHOPR	13249
T1HQI6_RHOPR	13249
T1H9F4_RHOPR	13249
T1HYU6_RHOPR	13249
T1HFQ4_RHOPR	13249
T1I8I9_RHOPR	13249
T1I250_RHOPR	13249
T1HG79_RHOPR	13249
T1HK25_RHOPR	13249
T1HK38_RHOPR	13249
T1HXZ3_RHOPR	13249
T1I826_RHOPR	13249
T1HU72_RHOPR	13249
T1HVT8_RHOPR	13249
T1HKN1_RHOPR	13249
T1I6E9_RHOPR	13249
T1ICV7_RHOPR	13249
T1HQV3_RHOPR	13249
T1HGD4_RHOPR	13249
T1HEL6_RHOPR	13249
T1I3X4_RHOPR	13249
T1HYV9_RHOPR	13249
T1I865_RHOPR	13249
T1HZ11_RHOPR	13249
T1ICI9_RHOPR	13249
T1I3F1_RHOPR	13249
T1HYF6_RHOPR	13249
T1I8A5_RHOPR	13249
T1I8U9_RHOPR	13249
T1ICK9_RHOPR	13249
T1I9R9_RHOPR	13249
T1HTE5_RHOPR	13249
T1HQC1_RHOPR	13249
T1I8A8_RHOPR	13249
T1I116_RHOPR	13249
T1HVC5_RHOPR	13249
T1IDQ7_RHOPR	13249
T1I885_RHOPR	13249
T1HQY6_RHOPR	13249
T1HJJ9_RHOPR	13249
T1HJQ8_RHOPR	13249
T1HDE2_RHOPR	13249
T1HNI8_RHOPR	13249
T1I2W4_RHOPR	13249
T1I046_RHOPR	13249
T1HJ52_RHOPR	13249
T1IBH8_RHOPR	13249
T1I9A0_RHOPR	13249
T1ID09_RHOPR	13249
T1I5T6_RHOPR	13249
T1HDR6_RHOPR	13249
T1I256_RHOPR	13249
T1HJ04_RHOPR	13249
T1HDF5_RHOPR	13249
T1HJN5_RHOPR	13249
T1HQ89_RHOPR	13249
T1HG86_RHOPR	13249
T1HR05_RHOPR	13249
T1HRI6_RHOPR	13249
T1HIJ0_RHOPR	13249
T1HYJ4_RHOPR	13249
T1ICC2_RHOPR	13249
