Protein_ID	Taxon_ID
CXCL5_HUMAN	9606
ACKR4_HUMAN	9606
CTNNB1_HUMAN	9606
PF4V1_HUMAN	9606
CYBA_HUMAN	9606
VAV3_HUMAN	9606
CCR1_HUMAN	9606
TGFB1_HUMAN	9606
CXCL6_HUMAN	9606
CLDN17_HUMAN	9606
IL2_HUMAN	9606
PPP2CA_HUMAN	9606
PPP2CB_HUMAN	9606
CLDN1_HUMAN	9606
IL18RAP_HUMAN	9606
IFNGR1_HUMAN	9606
MAP2K6_HUMAN	9606
NFKBIA_HUMAN	9606
CLDN9_HUMAN	9606
RHOA_HUMAN	9606
VCAM1_HUMAN	9606
TLR2_HUMAN	9606
PIK3R1_HUMAN	9606
PPP2R2C_HUMAN	9606
CD3D_HUMAN	9606
TLR3_HUMAN	9606
IL37_HUMAN	9606
PPBP_HUMAN	9606
CSF1R_HUMAN	9606
MAP2K7_HUMAN	9606
ACE_HUMAN	9606
MAPK3_HUMAN	9606
GNAS_HUMAN	9606
PTK2_HUMAN	9606
MYL9_HUMAN	9606
AKT2_HUMAN	9606
CCR5_HUMAN	9606
IL6ST_HUMAN	9606
GNA11_HUMAN	9606
IL12B_HUMAN	9606
TAB1_HUMAN	9606
MMP9_HUMAN	9606
TNFRSF10A_HUMAN	9606
IRF5_HUMAN	9606
CCR3_HUMAN	9606
CLDN4_HUMAN	9606
IL2RB_HUMAN	9606
CXCR3_HUMAN	9606
IFNA5_HUMAN	9606
TICAM1_HUMAN	9606
SMAD2_HUMAN	9606
IFNA6_HUMAN	9606
RAC2_HUMAN	9606
IFNA13_HUMAN	9606
CCL28_HUMAN	9606
TBK1_HUMAN	9606
AKT1_HUMAN	9606
CXCL3_HUMAN	9606
MAP3K7_HUMAN	9606
CXCR5_HUMAN	9606
VAV2_HUMAN	9606
TLR1_HUMAN	9606
IL18_HUMAN	9606
TICAM2_HUMAN	9606
RHOH_HUMAN	9606
PF4_HUMAN	9606
CD80_HUMAN	9606
MAPK12_HUMAN	9606
VASP_HUMAN	9606
IFNAR1_HUMAN	9606
IFNA8_HUMAN	9606
THY1_HUMAN	9606
CASP8_HUMAN	9606
PRKCG_HUMAN	9606
RAP1B_HUMAN	9606
VCL_HUMAN	9606
GNA15_HUMAN	9606
MMP2_HUMAN	9606
KNG1_HUMAN	9606
TNFRSF1B_HUMAN	9606
JAM2_HUMAN	9606
MAP3K8_HUMAN	9606
IL24_HUMAN	9606
CD99L2_HUMAN	9606
PLCB2_HUMAN	9606
GNAQ_HUMAN	9606
LTBR_HUMAN	9606
CCL17_HUMAN	9606
PIK3R3_HUMAN	9606
ARHGAP5_HUMAN	9606
IL34_HUMAN	9606
TNFSF10_HUMAN	9606
ACKR3_HUMAN	9606
GNAI3_HUMAN	9606
IFNA16_HUMAN	9606
IL10RA_HUMAN	9606
CTNND1_HUMAN	9606
CXCL9_HUMAN	9606
CLDN11_HUMAN	9606
ADCY1_HUMAN	9606
JAM3_HUMAN	9606
PLCG1_HUMAN	9606
LBP_HUMAN	9606
CCL2_HUMAN	9606
CXCL10_HUMAN	9606
TNFRSF10B_HUMAN	9606
CCR2_HUMAN	9606
CXCR4_HUMAN	9606
CLDN16_HUMAN	9606
IFNG_HUMAN	9606
PIK3CA_HUMAN	9606
CCL27_HUMAN	9606
FASLG_HUMAN	9606
MYLPF_HUMAN	9606
PLCB4_HUMAN	9606
TGFB3_HUMAN	9606
IL22RA1_HUMAN	9606
IL1B_HUMAN	9606
C3_HUMAN	9606
NCF1_HUMAN	9606
SERPINE1_HUMAN	9606
CXCR1_HUMAN	9606
CCR4_HUMAN	9606
ACTG1_HUMAN	9606
CYBB_HUMAN	9606
AFDN_HUMAN	9606
