Protein_ID	Taxon_ID
ARF5_HUMAN	9606
M6PR_HUMAN	9606
FKBP4_HUMAN	9606
CYP26B1_HUMAN	9606
NDUFAF7_HUMAN	9606
FUCA2_HUMAN	9606
HS3ST1_HUMAN	9606
SEMA3F_HUMAN	9606
CFTR_HUMAN	9606
CYP51A1_HUMAN	9606
USP28_HUMAN	9606
SLC7A2_HUMAN	9606
HSPB6_HUMAN	9606
PDK4_HUMAN	9606
USH1C_HUMAN	9606
RALA_HUMAN	9606
BAIAP2L1_HUMAN	9606
CACNG3_HUMAN	9606
TMEM132A_HUMAN	9606
DVL2_HUMAN	9606
RPAP3_HUMAN	9606
PRSS21_HUMAN	9606
HOXA11_HUMAN	9606
CX3CL1_HUMAN	9606
TRAPPC6A_HUMAN	9606
SPATA20_HUMAN	9606
CEACAM7_HUMAN	9606
RHBDD2_HUMAN	9606
TSR3_HUMAN	9606
OSBPL7_HUMAN	9606
YBX2_HUMAN	9606
KRT33A_HUMAN	9606
TFAP2D_HUMAN	9606
CRY1_HUMAN	9606
PGLYRP1_HUMAN	9606
STARD3NL_HUMAN	9606
CAMK1G_HUMAN	9606
CD74_HUMAN	9606
FAM76A_HUMAN	9606
CPA1_HUMAN	9606
SYPL1_HUMAN	9606
RANBP9_HUMAN	9606
CD4_HUMAN	9606
TSPAN9_HUMAN	9606
QPCTL_HUMAN	9606
PPP5C_HUMAN	9606
UBR7_HUMAN	9606
MAP4K5_HUMAN	9606
INMT_HUMAN	9606
ERCC1_HUMAN	9606
GPRC5A_HUMAN	9606
HEBP1_HUMAN	9606
COX15_HUMAN	9606
MS4A12_HUMAN	9606
RGPD5_HUMAN	9606
XYLT2_HUMAN	9606
SCTR_HUMAN	9606
SYT13_HUMAN	9606
SNAI2_HUMAN	9606
SLC7A9_HUMAN	9606
RTF2_HUMAN	9606
RB1CC1_HUMAN	9606
AKAP11_HUMAN	9606
PIGQ_HUMAN	9606
CDH17_HUMAN	9606
B4GALT7_HUMAN	9606
FAM13B_HUMAN	9606
CHPF2_HUMAN	9606
GABARAPL2_HUMAN	9606
MYOC_HUMAN	9606
OTC_HUMAN	9606
TTC17_HUMAN	9606
HOXC8_HUMAN	9606
MRI1_HUMAN	9606
BOD1L1_HUMAN	9606
TARBP1_HUMAN	9606
RTN4R_HUMAN	9606
PSMA4_HUMAN	9606
RIPOR3_HUMAN	9606
ZPBP_HUMAN	9606
