Protein_ID	Taxon_ID
T1HCE0_RHOPR	13249
T1H7S4_RHOPR	13249
T1I920_RHOPR	13249
T1HU84_RHOPR	13249
T1IEW2_RHOPR	13249
R4G817_RHOPR	13249
T1HPU2_RHOPR	13249
T1HS10_RHOPR	13249
T1IFZ3_RHOPR	13249
T1IC62_RHOPR	13249
R4FQF4_RHOPR	13249
T1HCV5_RHOPR	13249
R4G7W4_RHOPR	13249
T1HAX1_RHOPR	13249
T1HIP9_RHOPR	13249
T1IEQ4_RHOPR	13249
T1H9K6_RHOPR	13249
T1IAL6_RHOPR	13249
T1I6P6_RHOPR	13249
T1HXQ9_RHOPR	13249
T1IGN0_RHOPR	13249
T1HPJ2_RHOPR	13249
T1HCP5_RHOPR	13249
T1HKF0_RHOPR	13249
R4G3W6_RHOPR	13249
R4G878_RHOPR	13249
T1HR09_RHOPR	13249
T1I363_RHOPR	13249
T1I3J3_RHOPR	13249
T1HI69_RHOPR	13249
R4FPS9_RHOPR	13249
R4G8P8_RHOPR	13249
T1HTN6_RHOPR	13249
R4G7Q8_RHOPR	13249
T1H9U9_RHOPR	13249
T1HJN2_RHOPR	13249
T1HKY9_RHOPR	13249
R4G8G8_RHOPR	13249
T1HUJ0_RHOPR	13249
T1H8G1_RHOPR	13249
T1ICW9_RHOPR	13249
R4FN34_RHOPR	13249
R4FND4_RHOPR	13249
R4G8D0_RHOPR	13249
T1IAW0_RHOPR	13249
T1HXF1_RHOPR	13249
R4G7T2_RHOPR	13249
T1HPG8_RHOPR	13249
T1HGH0_RHOPR	13249
T1HF44_RHOPR	13249
T1IG61_RHOPR	13249
T1HVG5_RHOPR	13249
T1I3U3_RHOPR	13249
T1I683_RHOPR	13249
T1I1F3_RHOPR	13249
R4G471_RHOPR	13249
T1IBN6_RHOPR	13249
T1I2C6_RHOPR	13249
T1HQF6_RHOPR	13249
T1HKH8_RHOPR	13249
T1HXK2_RHOPR	13249
T1I9G5_RHOPR	13249
T1IF29_RHOPR	13249
T1I6R5_RHOPR	13249
R4FKB2_RHOPR	13249
T1I5F0_RHOPR	13249
T1HTZ7_RHOPR	13249
R4FN38_RHOPR	13249
R4G3P9_RHOPR	13249
T1HS78_RHOPR	13249
R4FMU2_RHOPR	13249
R4G4D9_RHOPR	13249
T1I3P4_RHOPR	13249
R4G4B1_RHOPR	13249
T1I6P3_RHOPR	13249
R4FN11_RHOPR	13249
T1IF05_RHOPR	13249
T1HJ41_RHOPR	13249
T1HDW3_RHOPR	13249
R4G7U3_RHOPR	13249
T1HJQ8_RHOPR	13249
T1I7T5_RHOPR	13249
T1HWG9_RHOPR	13249
T1HWC0_RHOPR	13249
T1I0L4_RHOPR	13249
T1HDJ8_RHOPR	13249
R4G8L9_RHOPR	13249
T1HQV6_RHOPR	13249
T1I8S9_RHOPR	13249
R4G8N8_RHOPR	13249
R4FNQ0_RHOPR	13249
R4FNT4_RHOPR	13249
T1ICK9_RHOPR	13249
T1I7C2_RHOPR	13249
T1I0G0_RHOPR	13249
R4G4K0_RHOPR	13249
R4G581_RHOPR	13249
T1I3U9_RHOPR	13249
R4FL47_RHOPR	13249
R4FNW4_RHOPR	13249
R4FMY9_RHOPR	13249
R4G4K8_RHOPR	13249
T1HZV9_RHOPR	13249
T1IFR5_RHOPR	13249
T1HXA5_RHOPR	13249
T1I2J7_RHOPR	13249
T1HSY9_RHOPR	13249
T1HTW8_RHOPR	13249
T1HW02_RHOPR	13249
T1HH27_RHOPR	13249
T1HWV5_RHOPR	13249
T1I7D2_RHOPR	13249
T1HEQ8_RHOPR	13249
T1HGG9_RHOPR	13249
R4FL23_RHOPR	13249
T1HX85_RHOPR	13249
T1HUZ6_RHOPR	13249
T1IB05_RHOPR	13249
R4FPF4_RHOPR	13249
T1I037_RHOPR	13249
R4G335_RHOPR	13249
T1IFB7_RHOPR	13249
T1HEK1_RHOPR	13249
T1H9B9_RHOPR	13249
R4FPL4_RHOPR	13249
T1I8V9_RHOPR	13249
T1IB46_RHOPR	13249
T1HWE9_RHOPR	13249
T1HHP5_RHOPR	13249
T1I4A1_RHOPR	13249
T1HA55_RHOPR	13249
T1I2A3_RHOPR	13249
T1HF15_RHOPR	13249
R4FMA3_RHOPR	13249
T1HPF2_RHOPR	13249
T1HDB5_RHOPR	13249
T1IFY1_RHOPR	13249
T1HEZ2_RHOPR	13249
R4G4N4_RHOPR	13249
T1IF10_RHOPR	13249
R4G8N7_RHOPR	13249
T1HE03_RHOPR	13249
R4G3C9_RHOPR	13249
T1HIX5_RHOPR	13249
T1I9U6_RHOPR	13249
T1HB93_RHOPR	13249
R4G8S8_RHOPR	13249
T1HP33_RHOPR	13249
T1HFL7_RHOPR	13249
T1HVF7_RHOPR	13249
T1HG99_RHOPR	13249
T1HZC8_RHOPR	13249
T1IC63_RHOPR	13249
T1IAT3_RHOPR	13249
R4FLL8_RHOPR	13249
T1H9U6_RHOPR	13249
R4G8K2_RHOPR	13249
R4FNY7_RHOPR	13249
R4FNS2_RHOPR	13249
T1ID75_RHOPR	13249
R4G4E9_RHOPR	13249
R4G8R2_RHOPR	13249
T1HY83_RHOPR	13249
T1HES3_RHOPR	13249
T1I1T1_RHOPR	13249
T1HFG5_RHOPR	13249
R4FMY5_RHOPR	13249
T1IET7_RHOPR	13249
T1HI35_RHOPR	13249
T1ICJ4_RHOPR	13249
T1H8N0_RHOPR	13249
T1HI25_RHOPR	13249
T1HUU8_RHOPR	13249
T1HN49_RHOPR	13249
T1HAW8_RHOPR	13249
R4G389_RHOPR	13249
T1HFU1_RHOPR	13249
T1HN33_RHOPR	13249
T1HWZ2_RHOPR	13249
T1HK02_RHOPR	13249
T1HS66_RHOPR	13249
T1HUJ5_RHOPR	13249
R4G5K6_RHOPR	13249
R4G8J7_RHOPR	13249
T1HSI9_RHOPR	13249
T1IBZ5_RHOPR	13249
T1I3I5_RHOPR	13249
T1IBL7_RHOPR	13249
R4G5K3_RHOPR	13249
