Feature name	Feature description	Feature name paper	Feature ID	Feature type	Feature variation	Phenotype1	Description phenotype 1	Phenotype2	Description phenotype 2	Tissue	Tissue description	Experimental	Method	Interaction observed	Name interactive feature	ID interactive feature	Type interactive feature	Organism	Population	T.cruzi strain	Paper PMID	Paper DOI	Paper title	Paper publication date
AKT1	AKT serine/threonine kinase 1	pAKT	ENSG00000142208	Protein		Cardiac		Cardiac		Heart		Yes	Differential expression	No		rs1129293	Polymorphism	Homo sapiens	Brazil		35870262	10.1016/j.imbio.2022.152242	Synonymous mutation rs1129293 is associated with PIK3CG expression and PI3KÎ³ activation in patients with chronic Chagas cardiomyopathy	2022
CRP	C-reactive protein	C-reactive protein	ENSG00000132693	Protein	UP	Cardiac	RV dilation	Cardiac	No RV dilation	Serum		Yes	Routine laboratory workup	No				Homo sapiens	Brazil		36014020	10.3390/microorganisms10081602	Biomakers in Chronic Chagas Cardiomyopathy	2022
Ctnnb1	catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]	Î²-catenin	ENSMUSG00000006932	Protein	DOWN	Acute	1 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Ctnnb1	catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]	Î²-catenin	ENSMUSG00000006932	Protein	DOWN	Acute	2 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Ctnnb1	catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]	Î²-catenin	ENSMUSG00000006932	Protein	DOWN	Acute	6 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Ctnnb1	catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]	Î²-catenin	ENSMUSG00000006932	Protein	DOWN	Acute	6 hpi	Healthy		Nuclear of heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Cx3cl1	C-X3-C motif chemokine ligand 1 [Source:RGD Symbol;Acc:620458]	CX3CL1	ENSRNOG00000016326	Protein	UP	Acute	5 dpi	Healthy		Plasma		Yes	Enzymatic immunoassay	No				Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Cx3cl1	C-X3-C motif chemokine ligand 1 [Source:RGD Symbol;Acc:620458]	CX3CL1	ENSRNOG00000016326	Protein	UP	Acute	5 dpi	Healthy		Heart		Yes	Enzymatic immunoassay	No				Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
CXCL8	C-X-C motif chemokine ligand 8	IL-8	ENSG00000169429	Protein	UP	Cardiac	RV dilation	Cardiac	No RV dilation	Serum		Yes	ELISA	No				Homo sapiens	Brazil		36014020	10.3390/microorganisms10081602	Biomakers in Chronic Chagas Cardiomyopathy	2022
CXCL8	C-X-C motif chemokine ligand 8	IL-8	ENSG00000169429	Protein	UP	Severe cardiac	LVEF < 35%	Moderate cardiac	LVEF > 35%	Serum		Yes	ELISA	No				Homo sapiens	Brazil		36014020	10.3390/microorganisms10081602	Biomakers in Chronic Chagas Cardiomyopathy	2022
