Protein_ID	Taxon_ID
Feature name	9606
AKT1	9606
CRP	9606
Ctnnb1	9606
Cx3cl1	9606
CXCL8	9606
Edn1	9606
Gsk3b	9606
Ifng	9606
Il10	9606
IL12A	9606
IL6	9606
MMP2	9606
MMP9	9606
MUC16	9606
PTX3	9606
Tnf	9606
TNFRSF1A	9606
TNFRSF1B	9606
Wnt5a	9606
Yap1	9606
AARS1	9606
ACAA2	9606
ACADM	9606
ACADVL	9606
ACAT1	9606
ACTA1	9606
ACTC1	9606
ACTN2	9606
ACTR3	9606
Aif1	9606
AK1	9606
AKT2	9606
ALDH4A1	9606
ALDOA	9606
ALDOC	9606
ANXA1	9606
ANXA2	9606
ANXA5	9606
APOA1	9606
ATP5PB	9606
ATP5PD	9606
ATPAF1	9606
AVP	9606
BLK	9606
BLVRB	9606
Bmp2	9606
CAT	9606
CHCHD3	9606
CKM	9606
CKMT2	9606
COL18A1	9606
COL4A2	9606
CSNK1E	9606
CSRP3	9606
CST3	9606
CTSD	9606
DECR1	9606
DES	9606
DLD	9606
DPYSL2	9606
ECI2	9606
EHD4	9606
EIF3J	9606
EIF4H	9606
ENO1	9606
ENO3	9606
F13A1	9606
FAM90A22	9606
FCN3	9606
FH	9606
FRRS1	9606
GAB3	9606
GAPDH	9606
Gfap	9606
GLUD1	9606
GOT1	9606
GPI	9606
GSN	9606
HADH	9606
HNRNPA1	9606
HNRNPA2B1	9606
HSP90AA1	9606
HSP90B1	9606
HSPA5	9606
HSPA8	9606
HSPA9	9606
HSPB1	9606
HSPB7	9606
IDH2	9606
IDH3A	9606
IGHG1	9606
IL10	9606
Il1b	9606
IL24	9606
IMMT	9606
INA	9606
JAKMIP1	9606
KEL	9606
KIAA1217	9606
LAP3	9606
LCN2	9606
LDB3	9606
LGALS3	9606
LUM	9606
MCCC2	9606
MDH1	9606
MIB2	9606
MMP1	9606
Mmp2	9606
Mmp9	9606
MSTN	9606
MT-CO3	9606
MYG1	9606
MYH7	9606
MYL2	9606
MYL3	9606
MYL4	9606
NAPB	9606
NDUFA10	9606
NDUFS1	9606
NDUFS3	9606
NDUFV1	9606
NDUFV2	9606
NEIL1	9606
OGG1	9606
OXCT1-AS1	9606
P4HB	9606
PARP1	9606
PDIA3	9606
PDZD4	9606
PEBP1	9606
PFKL	9606
PGAM1	9606
PGAM2	9606
PKM	9606
PRDX2	9606
PRDX3	9606
PRDX6	9606
PSME1	9606
RNF25	9606
SDHB	9606
SSTR2	9606
STOML2	9606
TF	9606
TGM2	9606
TNF	9606
TNFRSF10B	9606
TNNI3	9606
TNNT2	9606
TPM1	9606
TRAF3	9606
Troponin	9606
TUBA1C	9606
TUBB	9606
UCP2	9606
UGP2	9606
UQCRC1	9606
UQCRC2	9606
VIM	9606
WDFY2	9606
XRCC5	9606
YP016	9606
YWHAZ	9606
ZDHHC9	9606
ZNF658	9606
CCL2	9606
CCL5	9606
CSF3	9606
CXCL10	9606
CXCL9	9606
IL1B	9606
Il6	9606
CCL17	9606
COLEC11	9606
CXCL5	9606
IL12B	9606
TIMP3	9606
TIMP4	9606
ADIPOQ	9606
ADIPOR1	9606
Ccl5	9606
CR1	9606
IFNG	9606
IL13	9606
IL17A	9606
IL1RN	9606
IL2	9606
LEP	9606
LEPR	9606
NPPB	9606
TGFB1	9606
CCL3	9606
CCL4	9606
CCR3	9606
CCR4	9606
Cd274	9606
Cxcl1	9606
IL4	9606
LGALS1	9606
LGALS9	9606
Ccl11	9606
Ccl3	9606
Ccl4	9606
Csf1	9606
Csf2	9606
Csf3	9606
Cxcl10	9606
Cxcl9	9606
EGR1	9606
F2	9606
FGA	9606
Il12b	9606
Il1a	9606
Il2	9606
Il3	9606
Il4	9606
Il5	9606
Il7	9606
Il9	9606
LIX	9606
PAPcomplexes	9606
SELP	9606
SNAI1	9606
VDR	9606
Vegfb	9606
Citratesynthase	9606
CKB	9606
ComplexI	9606
ComplexII	9606
ComplexIII	9606
ComplexIV	9606
MB	9606
MPO	9606
SERPINE1	9606
VCAM1	9606
Ckm	9606
CLEC11A	9606
FCN2	9606
Ldha	9606
MIF	9606
Mpo	9606
PDGFB	9606
ADA	9606
Adenosine	9606
ALB	9606
AMPD3	9606
APOC3	9606
ATG16L1	9606
ATOSA	9606
BCL2A1	9606
C14ORF57	9606
C1R	9606
C4BPA	9606
CASP10	9606
CCNB1	9606
CFAP95	9606
CFB	9606
CLPB	9606
CLU	9606
CNOT10	9606
CP	9606
CTTN	9606
DAPL1	9606
DCPS	9606
DIP2A	9606
DNAH17	9606
DPP10	9606
EEA1	9606
F13B	9606
FGG	9606
FLJ45035	9606
GC	9606
GCNT1	9606
GFAP	9606
GMDS	9606
GNPDA1	9606
GSTA4	9606
H1-8	9606
HMOX1	9606
HNRNPM	9606
HRG	9606
HSDL2	9606
IGHA1	9606
IGHA2	9606
IGHG2	9606
IGHG3	9606
IGKC	9606
KIAA1210	9606
KLC2	9606
KRT1	9606
KRT10	9606
KRT14	9606
KRT15	9606
KRT16	9606
KRT2	9606
KRT25	9606
KRT6A	9606
KRT6B	9606
KRT6C	9606
KRT9	9606
LOC442122	9606
LRRK2	9606
MED14	9606
MEF2C	9606
MSH2	9606
MSH4	9606
MT-ATP6	9606
MT-CYB	9606
MTHFD1	9606
MT-ND1	9606
MYH11	9606
MYH14	9606
MYO1C	9606
NDEL1	9606
NFE2L2	9606
NRAP	9606
NTF3	9606
NUMA1	9606
OSBPL8	9606
PCID2	9606
PCNT	9606
PDE4A	9606
PHB2	9606
PLG	9606
PPARG	9606
PPARGC1A	9606
PRL	9606
PRODH	9606
PVALB	9606
RNF115	9606
RTEL1	9606
SERPINA3	9606
SERPINC1	9606
SLIRP	9606
SMC1A	9606
SOD2	9606
SPATA1	9606
TMF1	9606
TRIB1	9606
TTR	9606
UTRN	9606
VCL	9606
ZBTB43	9606
ZNF248	9606
ZNF528	9606
ZNF615	9606
ZNF840P	9606
ZSWIM2	9606
ATP5F1A	9606
ATP5F1B	9606
NOS2	9606
Actb	9606
Bcl2l1	9606
Bid	9606
Cxcl12	9606
Cycs	9606
Mt-atp6	9606
Nox1	9606
Tnf-r1	9606
Xdh	9606
Egf	9606
FASLG	9606
Fn1	9606
Hsd17b1	9606
TNFSF10	9606
Adrb2	9606
Arg1	9606
Camp	9606
Norepinephrine	9606
CD68	9606
GSTP1	9606
IL15	9606
GPX1	9606
GSS	9606
SOD1	9606
UQCR11	9606
Ccr5	9606
CCR5	9606
CXCR3	9606
CXCR4	9606
Endothelin-1	9606
Il13	9606
Il18	9606
s-PECAM-1	9606
ICAM-1	9606
LFA-1	9606
Nos2	9606
Nos3	9606
VCAM-1	9606
IL-12	9606
Tnfrsf1a	9606
Tnfrsf1b	9606
TNF-Î±	9606
Ctf1	9606
Il6st	9606
Alkalinephosphatase	9606
Isocitratedehydrogenase	9606
Mucoproteins	9606
