"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.73681183720259e-14,716,1538,1.26764405615865,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," ADA  ACOT8  GNPDA1  PLA2G4B  COX17  NAMPT  NME6  GPHN  GLYAT  TCIRG1  AKR1A1  RXYLT1  CDO1  BPNT1  CEPT1  CDS1  PEMT  CDIPT  ACAA2  ATP5PD  AGPAT2  SPTLC1  POMT1  MTHFS  ST6GALNAC2  ATP5MG  EBP  ADCY1  NEU3  ALDH1L1  ACOT2  HTD2  UQCR11  SDS  SLC27A5  B4GAT1  HIBADH  CHIT1  TREH  INMT  CHKA  GALNT5  CA5B  SAT2  HOGA1  L3HYPDH  B4GALT7  MGAT4A  MGLL  ADCY8  ADCY9  CKB  CKM  CKMT1B  CKMT2  PNLIPRP3  AK7  DEGS2  MTFMT  HYKK  ADH1A  ACER1  ADH5  PIGU  CMPK2  MBOAT2  ACMSD  GALM  UROC1  NUDT16  GLYCTK  GNPDA2  COX5B  ENPP6  NADK2  COX6A1  COX6A2  CMBL  COX7A1  B3GAT2  COX10  COX11  COX15  GOT1L1  GPAT4  DGKK  NANP  ACSM6  CS  AMDHD1  RDH12  AANAT  GPAT2  CYP2A6  CYP2A7  CYP2C19  CYP2C8  CYP2C9  CYP2C18  RDH10  CYP3A5  AK8  CYP7A1  CYP11B1  CYP24A1  CYP26A1  CYP27A1  CYP27B1  CYP51A1  LDHAL6A  DAD1  ALDH1L2  DGKG  DGKQ  DAO  NAGS  DBT  DCK  DGUOK  DHFR  DHODH  NQO1  DLAT  DLD  DLST  SARDH  AGL  DNMT3A  ABAT  AHCY  B3GNT6  SDR16C5  EHHADH  LDHD  FCSK  PIKFYVE  DHFR2  STT3B  ENO1  ENO2  ENO3  AK1  CERS3  AK4  ESD  MECOM  EXT1  EXTL3  ALDH1A1  ALDH2  ALDH3A1  ALDH1B1  GSTA5  FKTN  ALDOA  FH  CHSY1  ENPP4  SEPHS1  RPIA  ALDOC  PLCH1  NMNAT2  AKR1B1  COLGALT2  ACSBG1  FMO2  FMO3  FMO5  PIP5K1C  SIRT5  SIRT4  SIRT1  MLYCD  FOLH1  GCAT  ETHE1  TGDS  HAAO  NNT  HYAL4  PIGN  BHMT2  PISD  ALOX12  ALOX12B  ATP6V0D2  ATP6V1C2  ALOX15  ALOX15B  ALPI  ALPG  FUT6  ST6GALNAC3  PGLS  GALC  GALK1  GALK2  GALNS  GALNT1  GALNT2  MTHFD1L  SGMS1  GAPDH  AOC1  GLCE  PHGDH  B3GAT3  GALNT8  GBGT1  GAPDHS  GCNT1  GGCX  GGT5  AMPD1  ACAD8  ST6GALNAC4  CHIA  GLS2  GLA  AMPD3  DHDH  HPGDS  MCAT  MAT2B  GLUD1  AMT  AMY1A  GMDS  GMPR  AMY1B  AMY2A  GNS  GOT1  GOT2  GPLD1  PGM2L1  B4GALNT3  PLA2G4D  GDPD1  GPX1  GPX3  ANPEP  GSR  GSS  GSTA3  GSTA4  GSTM1  GSTM2  GSTM5  GSTP1  GUCY1A2  GUCY1A1  GUCY2C  GUCY2F  GUK1  ALG5  GYG1  PYCR2  NME7  ALG6  POMT2  CERS2  DMGDH  GYS2  GUCY2D  HSD17B10  HADH  HAL  HCCS  HDC  HEXB  HGD  NT5C  HK1  HK2  HK3  AOC2  HLCS  HMGCR  HMOX1  HNMT  DHRS4L2  NUDT2  HPD  HPRT1  HSD11B1  HSD17B1  HSD17B2  HSD17B4  ACADL  NDST1  HYAL1  GADL1  NAT8L  ACADM  ACSM4  IDH1  IDH2  IDH3A  IDH3G  IDI1  IDUA  MOGAT3  ACADS  APRT  IMPA2  IMPDH1  INPP1  INPP4A  INPPL1  ACADVL  ITPKA  NDUFS7  GALNT18  HDDC3  ENTPD8  KHK  ACAT1  ARG2  LALBA  PLA2G2C  LCT  LIPC  LTA4H  CYP4F3  ARSA  ARSB  STS  MAN2A1  MAOA  MAOB  MARS1  MDH1  MGAT5  MGST3  MPST  ASNS  MTHFD2L  GALNTL6  ASPA  ASS1  MT-ATP6  MT-ATP8  MT-CO3  MT-CYB  MTHFD1  MT-ND1  MT-ND4  MT-ND4L  MT-ND6  MMUT  MVD  MVK  NAGLU  NDUFA2  NDUFA4  NDUFA5  NDUFA7  NDUFA9  NDUFA10  NDUFB1  ATIC  NDUFB4  NDUFB5  NDUFB7  NDUFB8  NDUFB9  NDUFB10  NDUFC2  NDUFS2  NDUFV1  NDUFS4  NDUFS6  NDUFV2  NEU2  ATP12A  NME3  NME4  NOS2  NOS3  PNP  NPR2  NT5E  GPX8  CHAC2  ATP4A  ODC1  ATP5F1A  ACO2  OTC  OXCT1  P4HA1  PAFAH1B1  RRM2B  PLA2G3  PAFAH1B3  ATP5F1B  NSDHL  PCBD1  PDE11A  ACOX1  LAP3  APIP  CRYL1  MECR  KMT5B  HSD17B12  PIPOX  ATP5F1D  PCYT1A  CSAD  ATP6V1D  ATP5F1E  PDE3B  PDE4A  PDE6A  PDE6D  HSD17B7  PDE6H  HACD3  ATP5PB  PDE9A  PDE1B  PDHA1  LIPT1  PIGT  PDHA2  ENPP2  ATP5MC3  COQ3  GALNT7  GATB  ACP1  PFKL  PGAM1  PGAM2  PGD  ATP6V1A  PGM1  PGM3  ATP6V1B1  ATP6V1B2  PIGF  PIGH  PIK3C2A  PIK3C3  ATP6V1E1  PIK3CA  PIK3CD  PI4KA  PI4KB  PKM  PLA2G4A  PLCB2  PLCB4  NUDT9  PLCG1  PLCG2  PLD2  ATP6V0A1  PLOD1  PLOD2  BCO1  ATP6AP1  PMM1  PMM2  ATP5PO  ACP5  PNMT  NANS  CYCS  DPM3  CHPF2  NDUFB11  UGT1A3  CRLS1  PPAT  ELOVL2  BPNT2  LPCAT2  PIGX  PLAAT2  PPOX  OXSM  MOCOS  PI4K2B  OLAH  SPTLC3  SMPD3  DHTKD1  ENOSF1  GALNT10  MIOX  POMGNT1  ST6GALNAC1  ADCY10  ALLC  ACSS2  CMAS  ALG1  PRODH  KYAT3  CYP26B1  AGPAT3  NDUFA4L2  C1GALT1  MCCC1  NT5M  PRDM9  ADPRM  CHPT1  PDXP  TIGAR  PTGIS  PTGS2  PTS  PCYT2  PYGB  PYGL  PYGM  SQOR  ENOPH1  PRUNE1  KMT2C  PRODH2  QDPR  BCKDHA  BCKDHB  RDH5  RENBP  AASDHPPT  RPE65  RPN1  RPN2  RRM1  ACSM3  MSMO1  SC5D  BHMT  SDHA  SDHB  PRDM16  XYLT2  ACOT1  CHST8  GALNT17  MTMR14  SGSH  BLVRB  ALDH8A1  NDST4  SMYD3  SI  IPPK  CERK  ST6GAL1  ST3GAL1  GNPNAT1  ETNPPL  AGXT2  NME1-NME2  SMPD2  SORD  UAP1  BPGM  SPR  SQLE  SRD5A1  AKR1D1  SULT1E1  SULT2B1  BST1  TH  TK1  TK2  TM7SF2  TPH1  TPI1  TYR  TYRP1  UGP2  UCK2  UMPS  UQCRC1  UQCRC2  UROD  NSD2  CA1  CA2  CA3  CA4  CA6  CA9  CA12  PRDM2  CAD  VKORC1  GGCT  ALG8  ELOVL6  ALG12  CHAC1  THTPA  B3GNT4  PLA2G7  CHPF  CERS4  SRD5A3  PANK3  COLGALT1  PPCS  SUV39H2  ALG9  CAMKMT  TUSC3  L2HGDH  ELOVL7  UXS1  MOGAT2  HSD3B7  ITPKC  FLAD1  PNPLA3  PDHX  KMT2D  SETD7  NPL  PLA2G12A  ST6GALNAC5  HYI  TKTL1  NUDT12  HYAL3  PIP5K1B  TKTL2  PCBD2  BBOX1  MRI1  COQ5  DOT1L  ACSS1  NT5C1A  DGAT2  MCEE  CAT  KMT5C  GPAT3  ALG10  PIGY  DGKE  CYP4F2  ALG2  AGPS  SELENOI  PDXK  PLPP1  PLPP2    HSD17B6  AKR1C3  ALDH4A1  GALNT4  B3GALT2  B3GALT1  CBR1  GPAA1  CBR3  FPGT  SUCLG2  ALDH1A2  SYNJ1  KYNU  PLOD3  PLCZ1  SELENBP1  ATP6V0E1  NAT8  PAPSS1  PIGQ  RGN  MTMR6  MTMR7  MTMR4  ATP6V0D1  DGKI  COX7A2L  IDI2  SLC33A1  LARGE1  G6PC3  MARS2  NT5C1B  NDST3  KL  LIPG  FADS2  GGPS1  PCYT1B  CHST10  PIGL  PIGB  PGS1  SPTLC2  CD38  TECR  ATP5MF  ENTPD3  PRDX6  GDA  LPIN2  ACYP1  SETD1A  SETDB1  FIG4  XYLB"
1.76338332399915e-13,284,530,1.45909345045233,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," BCL2L11  FRAT1  CDK2  CDK4  CDK6  CDKN1B  CDKN2B  TFG  GNB5  DLL3  ADCY1  GADD45G  FZD10  EGLN3  ADCY8  ADCY9  RASGRP4  CKS1B  COL4A2  COL4A4  CREBBP  CRK  CSF1R  CTBP1  CTNNB1  DDB2  GADD45A  NQO1  JAG1  DVL1  DVL2  EGF  EGFR  EP300  EPAS1  EPO  EPOR  ERBB2  AKT1  AKT2  ETS1  MECOM  F2  F2R  GSTA5  FGF2  FGF3  FGF4  FGF6  FGF7  FGF8  FGF9  FGF10  FGFR1  FGFR3  FGFR4  FH  VEGFD  LAMB4  FLT3  FLT3LG  FLT4  HEY1  HEY2  ALK  MTOR  APPL1  FGF20  FGF22  GLI1  GLI2  GNA11  GNA12  GNAI3  GNAQ  GNAS  GNB1  GNB3  GNG3  GNG5  GNG11  GNGT1  GNGT2  GRB2  GSTA3  GSTA4  GSTM1  GSTM2  GSTM5  GSTP1  MSH6  HDAC2  HGF  HIF1A  HMOX1  APAF1  APC  HES1  BIRC3  XIAP  BIRC5  HSP90AA1  IFNA1  IFNA5  IFNA6  IFNA7  IFNA8  IFNA13  IFNA14  IFNA16  IFNAR1  IFNG  IFNGR1  IGF1  IGF1R  IGF2  KLK3  IL2  IL2RA  FASLG  IL2RB  IL3  IL4  IL4R  IL5  IL6  IL6ST  IL7  CXCL8  IL12A  IL12B  IL12RB2  IL15  IL15RA  ITGA2  ITGA2B  ITGA3  ITGAV  ARAF  KIF7  KIT  KNG1  KRAS  RHOA  LAMA2  LAMA4  LAMA5  LAMB1  LAMC1  LAMC2  LRP5  SMAD2  MDM2  MGST3  MLH1  MMP1  MMP2  MMP9  MSH2  MSH3  GADD45B  NFE2L2  NFKB1  NFKBIA  NKX3-1  NOS2  NOTCH2  NOTCH3  NRAS  NTRK1  LEF1  WNT16  POLK  PDGFB  PDGFRA  IL23A  PDGFRB  SUFU  GNG13  CALML5  PIK3CA  PIK3CD  PIK3R1  PIK3R2  PLCB2  PLCB4  PLCG1  PLCG2  PLD2  PML  CYCS  WNT4  DLL4  PPARG  PRKACG  PRKCG  MAPK1  MAPK3  MAP2K2  PTGER1  PTGER2  PTGS2  PTK2  BAX  RAC2  RAC3  RALA  RALB  RARA  RARB  RB1  GNB4  CCND1  RPS6KB1  BDKRB1  BDKRB2  HHIP  SHH  BMP2  SKP2  SLC2A1  BMP4  SMO  SOS2  SP1  SPI1  BRAF  STAT3  STAT5B  STAT6  ELOB  TCF7  TGFB1  TGFB3  TP53  TPR  HSP90B1  TRAF2  TRAF3  TRAF5  VEGFB  VHL  WNT1  WNT2  WNT5A  WNT6  WNT7A  WNT8B  WNT10B  WNT9A  PAX8  CXCR4  BIRC7  FZD3  CCDC6  WNT10A  FGF23  CALM3  WNT5B  NCOA3  AXIN1  AXIN2  FZD1  FZD7  TCF7L1  CASP8  CUL1  PIK3R3  RUNX1  CBL  FADD  FGF18  CCNA1  CCND2  WNT3A  CCNE1  F2RL3  CCNE2  CALML4  GNG8  TRAF4  KEAP1  FGF19  RBX1"
5.65618124577593e-12,171,294,1.58376017311602,"Path:hsa04060 Cytokine-cytokine receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04060 "," GDF11  CXCL13  CXCR6  CCL27  EDAR  IL24  IL17F  TNFRSF13C  CCR1  CCR3  CCR4  CCR5  CCR7  ACVR1C  IL17RE  CSF1R  CSF2  CSF3  IL34  CTF1  GDF7  EPO  EPOR  TNFRSF13B  IL17RA  GDF1  GDF2  MSTN  GDF9  AMH  AMHR2  IL36B  IL37  IL36A  IL17C  IL17B  TNFRSF21  BMP10  CXCR3  CXCL3  IFNE  IFNA1  IFNA5  IFNA6  IFNA7  IFNA8  IFNA13  IFNA14  IFNA16  IFNAR1  IFNG  IFNGR1  IL1A  IL1B  IL1RN  IL2  IL2RA  FASLG  IL2RB  IL3  IL4  IL4R  IL5  IL6  IL6ST  IL7  CXCL8  CXCR1  IL9  IL9R  IL10  IL10RA  IL10RB  IL11  IL11RA  IL12A  IL12B  IL12RB2  IL15  IL15RA  IL17A  IL18  INHA  INHBA  INHBB  CXCL10  GDF6  LEP  LEPR  LIF  LTBR  CXCL9  MPL  NGF  NGFR  NODAL  TNFRSF11B  OSM  IL21R  TNFRSF12A  ACKR4  IL23A  PF4  PF4V1  PPBP  IL17RB  IL26  PRL  PRLR  IL36G  CCL28  IFNK  ACKR3  CXCL16  IL22RA1  TNFRSF17  CCL1  CCL2  CCL13  CCL17  CCL21  CCL22  CXCL6  CXCL5  XCL1  CX3CL1  CRLF2  CXCR5  IL25  BMP2  BMP3  BMP4  BMP5  BMP6  BMP7  BMP8B  BMPR1B  TGFB1  TGFB3  TNFRSF1A  TNFRSF1B  TNFSF4  CCR2  CXCR4  INHBE  IL1F10  IL17RC  RELT  TNFSF11  TNFSF13  TNFSF12  TNFSF10  TNFSF9  TNFRSF6B  TNFRSF18  TNFRSF10B  TNFRSF10A  IL18RAP  IL1RL2  IL33  ACVR1B  IL1RL1  OSMR  ACVR2A  CD4  BMP15  CD27  ACVRL1  TNFRSF8  TNFSF8  GDF15"
3.18706263585162e-08,187,354,1.43839770703361,"Path:hsa04151 PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 "," BCL2L11  CDK2  CDK4  CDK6  CDKN1B  CREB3  GNB5  CHAD  CDC37  COL1A1  COL1A2  COL2A1  COL4A2  COL4A4  COL6A2  COL6A3  COMP  ATF2  CSF1R  CSF3  CREB3L4  EFNA1  EFNA2  EFNA3  EGF  EGFR  EPO  EPOR  ERBB2  ERBB3  EREG  AKT1  AKT2  F2R  FGF2  FGF3  FGF4  FGF6  FGF7  FGF8  FGF9  FGF10  FGFR1  FGFR3  FGFR4  VEGFD  LAMB4  FLT1  FLT3  FLT3LG  PHLPP1  FLT4  MTOR  COL6A5  FGF20  FGF22  GNB1  GNB3  GNG3  GNG5  GNG11  GNGT1  GNGT2  GRB2  PKN3  GYS2  HGF  HSP90AA1  IBSP  IFNA1  IFNA5  IFNA6  IFNA7  IFNA8  IFNA13  IFNA14  IFNA16  IFNAR1  IGF1  IGF1R  IGF2  IL2  IL2RA  FASLG  IL2RB  IL3  IL4  IL4R  IL6  IL7  IRS1  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA5  ITGA9  ITGAV  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  AREG  KDR  KIT  KRAS  LAMA2  LAMA4  LAMA5  LAMB1  LAMC1  LAMC2  MCL1  MDM2  MYB  NFKB1  NGF  NGFR  NOS3  NRAS  NTF3  NTRK1  NTRK2  OSM  ANGPT4  PDGFB  PDGFRA  PDGFRB  GNG13  PIK3CA  PIK3CD  PIK3R1  PIK3R2  DDIT4  PPP2R3C  PPP2CA  PPP2CB  PPP2R2C  PPP2R3A  PPP2R5A  PPP2R5B  PPP2R5D  PRKAA2  PKN1  MAPK1  MAPK3  PDGFC  MAP2K2  PRL  PRLR  PTK2  RBL2  GNB4  CCND1  RHEB  RPS6KB1  BDNF  TNN  SOS2  STK11  THBS1  THBS3  TLR2  TP53  HSP90B1  TSC1  TSC2  VEGFB  VTN  VWF  YWHAH  YWHAZ  PDGFD  FGF23  TCL1A  CREB3L3  PIK3R3  FGF18  CCND2  CCNE1  CCNE2  OSMR  G6PC3  GNG8  EIF4E2"
3.18706263585162e-08,91,147,1.68563948249775,"Path:hsa05224 Breast cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05224 "," FRAT1  CDK4  CDK6  DLL3  GADD45G  FZD10  CSNK1A1L  CSNK1A1  CTNNB1  DDB2  GADD45A  JAG1  DVL1  DVL2  EGF  EGFR  ERBB2  AKT1  AKT2  FGF2  FGF3  FGF4  FGF6  FGF7  FGF8  FGF9  FGF10  FGFR1  FLT4  HEY1  HEY2  MTOR  SHC2  FGF20  FGF22  GRB2  APC  HES1  IGF1  IGF1R  ARAF  KIT  KRAS  LRP5  GADD45B  NOTCH2  NOTCH3  NRAS  LEF1  WNT16  POLK  PIK3CA  PIK3CD  PIK3R1  PIK3R2  WNT4  DLL4  MAPK1  MAPK3  MAP2K2  BAX  RB1  CCND1  RPS6KB1  SOS2  SP1  BRAF  TCF7  TP53  WNT1  WNT2  WNT5A  WNT6  WNT7A  WNT8B  WNT10B  WNT9A  FZD3  WNT10A  FGF23  WNT5B  NCOA3  AXIN1  AXIN2  FZD1  FZD7  TCF7L1  PIK3R3  TNFSF11  FGF18  WNT3A"
1.20668971853993e-07,174,331,1.43140289775663,"Path:hsa05165 Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05165 "," CDK2  CDK4  CDK6  CDKN1B  TCIRG1  CREB3  CHAD  CHD4  FZD10  CSNK1A1L  COL1A1  COL1A2  COL2A1  COL4A2  COL4A4  COL6A2  COL6A3  COMP  CREBBP  CSNK1A1  TICAM1  CREB3L4  CTNNB1  JAG1  DVL1  DVL2  EGF  EGFR  EP300  AKT1  AKT2  LAMB4  HEY1  HEY2  ATP6V0D2  ATP6V1C2  MTOR  COL6A5  TUBG2  GNAS  GRB2  TBK1  HDAC2  APC  HES1  IBSP  IFNA1  IFNA5  IFNA6  IFNA7  IFNA8  IFNA13  IFNA14  IFNA16  IFNAR1  FASLG  IRF1  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA5  ITGA9  ITGAV  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  KRAS  TBPL2  LAMA2  LAMA4  LAMA5  LAMB1  LAMC1  LAMC2  LFNG  MDM2  ATM  NFKB1  NOTCH2  NOTCH3  NRAS  PARD6A  ATP6V1D  WNT16  PDGFRB  ATP6V1A  ATP6V1B1  ATP6V1B2  ATP6V1E1  PIK3CA  PIK3CD  PIK3R1  PIK3R2  PKM  ATP6V0A1  ATP6AP1  WNT4  PPP2R3C  PPP2CA  PPP2CB  PPP2R2C  PPP2R3A  PPP2R5A  PPP2R5B  PPP2R5D  HES6  PRKACG  PRKCI  PRKCZ  MAPK1  MAPK3  MAP2K2  EIF2AK2  PSMC1  PTGS2  PTK2  BAX  PXN  RB1  RBL2  CCND1  RFNG  RHEB  RPS6KB1  TNN  SOS2  TBP  TCF7  THBS1  THBS3  TLR3  TNFRSF1A  TP53  TRAF3  TSC1  TSC2  TUBG1  VTN  VWF  WNT1  WNT2  WNT5A  WNT6  WNT7A  WNT8B  WNT10B  WNT9A  FZD3  WNT10A  WNT5B  AXIN1  AXIN2  FZD1  FZD7  TCF7L1  CASP8  PARD6B  CREB3L3  PIK3R3  OASL  FADD  CCNA1  CCND2  WNT3A  CCNE1  ATP6V0E1  ATP6V0D1  CCNE2  SLC9A3R1  TBPL1"
1.20668971853993e-07,90,148,1.65585167459498,"Path:hsa05226 Gastric cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05226 "," FRAT1  CDH17  CDK2  CDKN1B  CDKN2B  CDX2  GADD45G  FZD10  CSNK1A1L  CSNK1A1  CTNNB1  DDB2  GADD45A  DVL1  DVL2  EGF  EGFR  ERBB2  AKT1  AKT2  FGF2  FGF3  FGF4  FGF6  FGF7  FGF8  FGF9  FGF10  MTOR  GAB1  SHC2  FGF20  FGF22  GRB2  HGF  APC  ARAF  KRAS  LRP5  SMAD2  MLH1  GADD45B  NRAS  LEF1  WNT16  POLK  ABCB1  PIK3CA  PIK3CD  PIK3R1  PIK3R2  WNT4  MAPK1  MAPK3  MAP2K2  BAX  RARB  RB1  CCND1  RPS6KB1  SHH  SOS2  BRAF  TCF7  TGFB1  TGFB3  TP53  WNT1  WNT2  WNT5A  WNT6  WNT7A  WNT8B  WNT10B  WNT9A  FZD3  WNT10A  FGF23  WNT5B  AXIN1  AXIN2  FZD1  FZD7  TCF7L1  PIK3R3  FGF18  WNT3A  CCNE1  CCNE2  FGF19"
1.21947632730286e-07,237,476,1.35575754757455,"Path:hsa05022 Pathways of neurodegeneration-multiple diseases","http://www.genome.jp/kegg-bin/show_pathway?hsa05022 "," FRAT1  PPIF  ACTR1B  DNAL4  TRAP1  CDK5  SIGMAR1  TPTEP2-CSNK1E  TUBB3  TUBB4A  ATP5PD  DCTN2  DCTN6  UQCR11  FZD10  DCTN3  TUBA3E  CHRM3  LRRK2  CSNK1A1L  COX5B  COX6A1  COX6A2  COX7A1  MAPK14  CSNK1A1  CSNK1E  CSNK2A1  CSNK2A2  DNAH2  KLC3  CTNNB1  CYBB  DCTN1  DNAH5  DNAH6  DNAH9  DVL1  DVL2  EIF2S1  ERN1  ATG14  ATG2A  TARDBP  MTOR  FUS  CHMP2B  WIPI2  NOX1  DKK4  DKK2  HTRA2  GNAQ  GPX1  GPX3  GRIA2  GRIA4  GRIN2A  GRIN2C  GRIN2D  SLC25A4  GRM1  TBK1  NRBF2  HSD17B10  APAF1  APC  HSPA5  ATXN1L  TUBB2B  IL1A  IL1B  FASLG  IL6  ARAF  NDUFS7  KIF5A  KIF5B  KLC1  KRAS  LRP5  RAB8A  MAP3K10  MT-ATP6  MT-ATP8  MT-CO3  MT-CYB  MT-ND1  MT-ND4  MT-ND4L  MT-ND6  NDUFA2  NDUFA4  NDUFA5  NDUFA7  NDUFA9  NDUFA10  NDUFB1  NDUFB4  NDUFB5  NDUFB7  NDUFB8  NDUFB9  NDUFB10  NDUFC2  NDUFS2  NDUFV1  NDUFS4  NDUFS6  NDUFV2  NEFM  NFKB1  NOS2  NRAS  GPX8  ATP5F1A  NOX4  ATP5F1B  DCTN4  ATP5F1D  WNT16  ATP5F1E  UBE2J1  ATP5PB  ATP5MC3  CALML5  PIK3C3  PLCB2  PLCB4  PLCG1  ATP5PO  CYCS  WNT4  NDUFB11  WIPI1  IFT57  WDR41  PPP3CA  PPP3R1  DNAH3  AMBRA1  PRKCG  ACTR10  MAPK1  MAPK3  MAPK13  MAP2K2  MAP2K6  MAP2K7  PRPH  PSMA2  PSMA3  PSMA4  PSMA5  PSMA6  PSMB1  NDUFA4L2  PSMB4  PSMB6  PSMB7  PSMC1  PSMD3  PSMD7  PSMD8  PSMD11  PTGS2  ALS2  BAX  RAB5A  RPS27A  BDNF  MAPK12  ATXN1  ATXN2  SDHA  SDHB  KLC2  SOD1  BRAF  STX1A  TNFRSF1A  TNFRSF1B  TRAF2  TUBA4A  TUBB2A  UBE2L3  UCHL1  UQCRC1  UQCRC2  VDAC3  WNT1  WNT2  WNT5A  WNT6  WNT7A  WNT8B  WNT10B  WNT9A  XBP1  CACNA1B  CACNA1D  CACNA1S  DNALI1  DERL1  FZD3  TUBAL3  SPG11  WNT10A  CALM3  TUBB1  WNT5B  MAP1LC3B  CAPN1  CAPN2  AXIN1  AXIN2  FZD1  FZD7  SLC25A31  CASP8  TOMM40L  DCTN5  CAT  TUBA1C  DNAH17  BECN1  FADD  WNT3A  KLC4  COX7A2L  CALML4  VAPB  UBE2L6  ATXN3L  SNCAIP  RB1CC1  FIG4"
5.2855017389103e-07,155,294,1.43557208674259,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," PLA2G4B  CACNG3  CACNG2  TAB1  GADD45G  RASGRP4  MAP3K8  ATF2  CRK  MAPK14  CSF1R  GADD45A  DUSP1  DUSP2  DUSP3  DUSP4  DUSP6  EFNA1  EFNA2  EFNA3  EGF  EGFR  ERBB2  ERBB3  EREG  AKT1  AKT2  MECOM  FGF2  FGF3  FGF4  FGF6  FGF7  FGF8  FGF9  FGF10  FGFR1  FGFR3  FGFR4  VEGFD  RRAS2  MRAS  FLNA  FLT1  FLT3  FLT3LG  FLT4  FGF20  FGF22  CACNG4  RPS6KA6  GNA12  PLA2G4D  MKNK2  GRB2  HGF  HSPA8  HSPB1  IGF1  IGF1R  IGF2  IL1A  IL1B  FASLG  ARAF  JUND  AREG  KDR  KIT  KRAS  ARRB1  MEF2C  GADD45B  NFKB1  NGF  NGFR  NRAS  NTF3  NTRK1  NTRK2  PAK1  PAK2  ECSIT  TAOK3  ANGPT4  PDGFB  PDGFRA  PDGFRB  PLA2G4A  PPM1B  PPP3CA  PPP3R1  PPP5C  PRKACG  PRKCG  MAPK1  MAPK3  MAPK13  PDGFC  MAP2K2  MAP2K5  MAP2K6  MAP2K7  TAOK1  PTPRR  MAP4K2  RAC2  RAC3  RAP1B  RASA1  RASA2  RASGRF2  CACNG8  CACNG7  CACNG6  RELB  RPS6KA2  RPS6KA3  RRAS  BDNF  MAPK12  SOS2  SRF  BRAF  MAP3K7  TGFB1  TGFB3  TNFRSF1A  TP53  TRAF2  VEGFB  CACNA1B  CACNA1D  CACNA1E  MAP3K12  CACNA1S  CACNA2D1  CACNB1  CACNB3  CACNB4  CACNG1  MAPKAPK3  PDGFD  FGF23  MAP4K3  MKNK1  FGF18  CACNA1G  RPS6KA4  MAP3K13  CACNA2D2  MAPK8IP1  RAPGEF2  CDC25B  FGF19"
5.48203163249555e-07,120,217,1.50578216798806,"Path:hsa04810 Regulation of actin cytoskeleton","http://www.genome.jp/kegg-bin/show_pathway?hsa04810 "," ARPC3  ACTR3  ACTR2  ARPC2  ABI2  MYL9  VAV3  ARPC1A  CFL2  IQGAP2  CHRM3  CHRM4  CRK  DIAPH1  DIAPH2  DOCK1  EGF  EGFR  PIKFYVE  F2  F2R  SPATA13  FGF2  FGF3  FGF4  FGF6  FGF7  FGF8  FGF9  FGF10  FGFR1  FGFR3  FGFR4  RRAS2  MRAS  PIP5K1C  FGF20  CYFIP2  FGF22  GNA12  GSN  MYLPF  NCKAP1L  APC  MYLK4  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA5  ITGA9  ITGAE  ITGAM  ITGAV  ITGAX  ARAF  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  KNG1  KRAS  RHOA  LIMK1  MYH9  MYL2  NRAS  PAK1  PAK2  PDGFB  PDGFRA  PDGFRB  PFN1  PFN2  PIK3CA  PIK3CD  PIK3R1  PIK3R2  SSH1  PPP1R12C  ENAH  MAPK1  MAPK3  PDGFC  MAP2K2  ACTR3B  PTK2  PXN  MYL7  RAC2  RAC3  BDKRB1  RRAS  BDKRB2  ACTR3C  SLC9A1  SOS2  BRAF  TIAM1  ACTG1  TMSB4X  VAV2  VCL  CXCR4  MYH14  PDGFD  FGF23  PIP5K1B  PIK3R3  SCIN  FGF18  IQGAP1  WASL  TMSB4Y  MYLK3  MYL10  ARHGEF6  FGF19"
