"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.87235354099245e-12,35,294,4.61408259986459,"Path:hsa04060 Cytokine-cytokine receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04060 "," IL24  CCR3  CCR4  CCR5  CSF3  MSTN  CXCR3  IFNG  IL1B  IL1RN  IL2  FASLG  IL4  IL6  CXCL8  IL10  IL12A  IL12B  IL13  IL15  IL17A  CXCL10  LEP  LEPR  CXCL9  PRL  CCL2  CCL17  CXCL5  TGFB1  TNFRSF1A  TNFRSF1B  CXCR4  TNFSF10  TNFRSF10B"
6.51834617381505e-10,19,99,7.4384604337211,"Path:hsa04061 Viral protein interaction with cytokine and cytokine receptor","http://www.genome.jp/kegg-bin/show_pathway?hsa04061 "," IL24  CCR3  CCR4  CCR5  CXCR3  IL2  IL6  CXCL8  IL10  CXCL10  CXCL9  CCL2  CCL17  CXCL5  TNFRSF1A  TNFRSF1B  CXCR4  TNFSF10  TNFRSF10B"
1.39340856859736e-09,18,93,7.50160525913469,"Path:hsa04657 IL-17 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04657 "," CSF3  HSP90AA1  IFNG  IL1B  IL4  IL6  CXCL8  IL13  IL17A  CXCL10  LCN2  MMP1  MMP9  CCL2  CCL17  CXCL5  HSP90B1  TRAF3"
2.01442683780113e-09,26,214,4.70895158789919,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," MIB2  AKT1  AKT2  HSPA5  HSPA8  HSP90AA1  APOA1  IL1B  FASLG  IL6  CXCL8  IL12A  IL12B  MMP1  MMP9  NFE2L2  PPARG  CCL2  SELP  SOD2  TNFRSF1A  HSP90B1  TRAF3  VCAM1  TNFSF10  TNFRSF10B"
2.74102155266558e-09,22,155,5.5011771900321,"Path:hsa04932 Non-alcoholic fatty liver disease","http://www.genome.jp/kegg-bin/show_pathway?hsa04932 "," UQCR11  AKT1  AKT2  IL1B  FASLG  IL6  CXCL8  LEP  LEPR  MT-CO3  MT-CYB  NDUFA10  NDUFV1  NDUFV2  ADIPOR1  PPARG  SDHB  TGFB1  TNFRSF1A  UQCRC1  UQCRC2  ADIPOQ"
3.41713960998939e-09,19,115,6.40354419946425,"Path:hsa01200 Carbon metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01200 "," DLD  ENO1  ENO3  ALDOA  FH  ALDOC  GAPDH  GLUD1  GOT1  IDH2  IDH3A  ACAT1  MDH1  PFKL  PGAM1  PGAM2  PKM  SDHB  CAT"
1.2387563600154e-08,24,203,4.58226134055518,"Path:hsa05415 Diabetic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05415 "," ATP5PD  UQCR11  PARP1  CTSD  AKT1  AKT2  GAPDH  MMP2  MMP9  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  TGFB1  TNNI3  UQCRC1  UQCRC2"
8.05602847026619e-08,12,49,9.49182706257859,"Path:hsa05144 Malaria","http://www.genome.jp/kegg-bin/show_pathway?hsa05144 "," CR1  CSF3  IFNG  IL1B  IL6  CXCL8  IL10  IL12A  CCL2  SELP  TGFB1  VCAM1"
1.42289475721951e-07,16,101,6.13992773684951,"Path:hsa05142 Chagas disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05142 "," AKT1  AKT2  IFNG  IL1B  IL2  FASLG  IL6  CXCL8  IL10  IL12A  IL12B  NOS2  SERPINE1  CCL2  TGFB1  TNFRSF1A"
3.01419697165701e-07,23,223,3.99749218965847,"Path:hsa05208 Chemical carcinogenesis-reactive oxygen species","http://www.genome.jp/kegg-bin/show_pathway?hsa05208 "," ATP5PD  UQCR11  AKT1  AKT2  GSTA4  HMOX1  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  NFE2L2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  SOD1  SOD2  UQCRC1  UQCRC2  CAT"
1.84394807485252e-06,17,138,4.7745724294251,"Path:hsa05418 Fluid shear stress and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05418 "," AKT1  AKT2  GSTA4  GSTP1  HMOX1  HSP90AA1  IFNG  IL1B  MEF2C  MMP2  MMP9  NFE2L2  PDGFB  CCL2  TNFRSF1A  HSP90B1  VCAM1"
3.43985310246044e-06,18,162,4.30647709320695,"Path:hsa04630 JAK-STAT signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04630 "," IL24  CSF3  AKT1  AKT2  GFAP  IFNG  IL2  IL4  IL6  IL10  IL12A  IL12B  IL13  IL15  LEP  LEPR  PDGFB  PRL"
5.35436641578571e-06,13,87,5.7914691943128,"Path:hsa04260 Cardiac muscle contraction","http://www.genome.jp/kegg-bin/show_pathway?hsa04260 "," UQCR11  MT-CO3  MT-CYB  MYH7  MYL2  MYL3  MYL4  ACTC1  TNNI3  TNNT2  TPM1  UQCRC1  UQCRC2"
5.35436641578571e-06,9,37,9.42769309593954,"Path:hsa05143 African trypanosomiasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05143 "," APOA1  IFNG  IL1B  FASLG  IL6  IL10  IL12A  IL12B  VCAM1"
5.79180977015866e-06,12,74,6.28512873062636,"Path:hsa01230 Biosynthesis of amino acids","http://www.genome.jp/kegg-bin/show_pathway?hsa01230 "," ENO1  ENO3  ALDOA  ALDOC  GAPDH  GOT1  IDH2  IDH3A  PFKL  PGAM1  PGAM2  PKM"
7.9300746394759e-06,23,273,3.26535076298109,"Path:hsa05020 Prion disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05020 "," ATP5PD  UQCR11  EGR1  HSPA5  HSPA8  IL1B  IL6  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  KLC2  SOD1  UQCRC1  UQCRC2  TUBA1C"
8.78295770780593e-06,16,141,4.39810426540284,"Path:hsa04936 Alcoholic liver disease","http://www.genome.jp/kegg-bin/show_pathway?hsa04936 "," PPARGC1A  AKT1  AKT2  ACADM  IL1B  FASLG  IL6  CXCL8  IL12A  IL12B  IL17A  ACADVL  ADIPOR1  TNFRSF1A  TRAF3  ADIPOQ"
8.78295770780593e-06,27,364,2.8749283891464,"Path:hsa05014 Amyotrophic lateral sclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05014 "," ATP5PD  UQCR11  GPX1  HNRNPA1  HNRNPA2B1  HSPA5  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  NOS2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  KLC2  SOD1  TNFRSF1A  TNFRSF1B  UQCRC1  UQCRC2  CAT  TUBA1C  DNAH17"
8.81515129241633e-06,14,109,4.9781294838906,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," ENO1  ENO3  AKT1  AKT2  ALDOA  ALDOC  GAPDH  HMOX1  IFNG  IL6  NOS2  SERPINE1  PFKL  TF"
8.81515129241633e-06,11,65,6.55909588042289,"Path:hsa05321 Inflammatory bowel disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05321 "," IFNG  IL1B  IL2  IL4  IL6  IL10  IL12A  IL12B  IL13  IL17A  TGFB1"
1.17500373007325e-05,14,112,4.84478672985782,"Path:hsa04668 TNF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04668 "," AKT1  AKT2  IL1B  IL6  IL15  CXCL10  MMP9  CCL2  CXCL5  TNFRSF1A  TNFRSF1B  TRAF3  VCAM1  CASP10"
1.18262796292643e-05,24,306,3.0398661834402,"Path:hsa05016 Huntington disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05016 "," ATP5PD  PPARGC1A  UQCR11  GPX1  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  ATP5F1A  ATP5F1B  ATP5PB  PPARG  SDHB  KLC2  SOD1  SOD2  TGM2  UQCRC1  UQCRC2  TUBA1C  DNAH17"
1.82446341660409e-05,15,134,4.33861498196223,"Path:hsa00190 Oxidative phosphorylation","http://www.genome.jp/kegg-bin/show_pathway?hsa00190 "," ATP5PD  UQCR11  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  UQCRC1  UQCRC2"
3.52364984335605e-05,17,179,3.68095528078583,"Path:hsa05152 Tuberculosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05152 "," CR1  CTSD  AKT1  AKT2  HSPA9  IFNG  IL1B  IL6  IL10  IL12A  IL12B  NOS2  TGFB1  TNFRSF1A  VDR  EEA1  CASP10"
4.38718844188705e-05,30,476,2.44274961169302,"Path:hsa05022 Pathways of neurodegeneration-multiple diseases","http://www.genome.jp/kegg-bin/show_pathway?hsa05022 "," ATP5PD  UQCR11  LRRK2  CSNK1E  GPX1  HSPA5  IL1B  FASLG  IL6  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  NOS2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  KLC2  SOD1  TNFRSF1A  TNFRSF1B  UQCRC1  UQCRC2  CAT  TUBA1C  DNAH17"
4.46816952209719e-05,21,266,3.0598653030681,"Path:hsa05012 Parkinson disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05012 "," ATP5PD  UQCR11  LRRK2  HSPA5  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  NFE2L2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  KLC2  SOD1  UQCRC1  UQCRC2  TUBA1C"
6.82331450191813e-05,10,67,5.78481997594963,"Path:hsa00010 Glycolysis/Gluconeogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00010 "," DLD  ENO1  ENO3  ALDOA  ALDOC  GAPDH  PFKL  PGAM1  PGAM2  PKM"
7.18018157901789e-05,16,171,3.62650702585849,"Path:hsa05164 Influenza A","http://www.genome.jp/kegg-bin/show_pathway?hsa05164 "," AKT1  AKT2  IFNG  IL1B  FASLG  IL6  CXCL8  IL12A  IL12B  CXCL10  PLG  CCL2  TNFRSF1A  TRAF3  TNFSF10  TNFRSF10B"
7.95172888843898e-05,12,100,4.65099526066351,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," COL4A2  EGR1  AKT1  AKT2  IL1B  IL6  CXCL8  MMP2  SERPINE1  CCL2  TGFB1  VCAM1"
8.80262520664362e-05,11,85,5.01577920267633,"Path:hsa04610 Complement and coagulation cascades","http://www.genome.jp/kegg-bin/show_pathway?hsa04610 "," CLU  CR1  F2  F13A1  F13B  FGA  FGG  SERPINC1  SERPINE1  PLG  C4BPA"
9.14335852567837e-05,12,102,4.5597992751603,"Path:hsa05146 Amoebiasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05146 "," COL4A2  HSPB1  IFNG  IL1B  IL6  CXCL8  IL10  IL12A  IL12B  NOS2  TGFB1  VCL"
9.3565918213812e-05,14,138,3.93200082423243,"Path:hsa04915 Estrogen signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04915 "," KRT25  CTSD  AKT1  AKT2  HSPA8  HSP90AA1  KRT9  KRT10  KRT14  KRT15  KRT16  MMP2  MMP9  HSP90B1"
0.000103582269902232,31,530,2.26699454529196,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," COL4A2  AKT1  AKT2  F2  FH  GSTA4  GSTP1  HMOX1  HSP90AA1  IFNG  IL2  FASLG  IL4  IL6  CXCL8  IL12A  IL12B  IL13  IL15  MMP1  MMP2  MMP9  MSH2  NFE2L2  NOS2  PDGFB  PPARG  TGFB1  HSP90B1  TRAF3  CXCR4"
0.00012645594615504,25,384,2.52332642180095,"Path:hsa05010 Alzheimer disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05010 "," ATP5PD  UQCR11  CSNK1E  AKT1  AKT2  GAPDH  IL1B  IL6  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  NOS2  ATP5F1A  ATP5F1B  ATP5PB  SDHB  KLC2  TNFRSF1A  UQCRC1  UQCRC2  TUBA1C"
0.000202037017539926,18,232,3.00710900473934,"Path:hsa04714 Thermogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa04714 "," ATP5PD  PPARGC1A  UQCR11  MT-ATP6  MT-CO3  MT-CYB  MT-ND1  NDUFA10  NDUFV1  NDUFV2  NPPB  ATP5F1A  ATP5F1B  ATP5PB  PPARG  SDHB  UQCRC1  UQCRC2"
0.000202037017539926,18,232,3.00710900473934,"Path:hsa05171 Coronavirus disease-COVID-19","http://www.genome.jp/kegg-bin/show_pathway?hsa05171 "," CSF3  F2  F13A1  F13B  FGA  FGG  IL1B  IL2  IL6  CXCL8  IL12A  IL12B  CXCL10  MMP1  CCL2  SELP  TNFRSF1A  TRAF3"
0.00024944110378369,8,50,6.20132701421801,"Path:hsa00330 Arginine and proline metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00330 "," CKB  CKM  CKMT2  GOT1  NOS2  LAP3  PRODH  ALDH4A1"
0.000294317593621659,7,38,7.13968570715889,"Path:hsa05330 Allograft rejection","http://www.genome.jp/kegg-bin/show_pathway?hsa05330 "," IFNG  IL2  FASLG  IL4  IL10  IL12A  IL12B"
0.000411715360342645,9,69,5.05542963115599,"Path:hsa04920 Adipocytokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04920 "," PPARGC1A  AKT1  AKT2  LEP  LEPR  ADIPOR1  TNFRSF1A  TNFRSF1B  ADIPOQ"
0.000616969307508578,6,30,7.75165876777251,"Path:hsa00020 Citrate cycle (TCA cycle)","http://www.genome.jp/kegg-bin/show_pathway?hsa00020 "," DLD  FH  IDH2  IDH3A  MDH1  SDHB"
0.000618314028654574,10,90,4.30647709320695,"Path:hsa05410 Hypertrophic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05410 "," DES  IL6  MYH7  MYL2  MYL3  ACTC1  TGFB1  TNNI3  TNNT2  TPM1"
0.000727441140497087,10,92,4.21285802596332,"Path:hsa05323 Rheumatoid arthritis","http://www.genome.jp/kegg-bin/show_pathway?hsa05323 "," IFNG  IL1B  IL6  CXCL8  IL15  IL17A  MMP1  CCL2  CXCL5  TGFB1"
0.000784843796914714,9,76,4.58979795460215,"Path:hsa05133 Pertussis","http://www.genome.jp/kegg-bin/show_pathway?hsa05133 "," IL1B  IL6  CXCL8  IL10  IL12A  IL12B  NOS2  CXCL5  C4BPA"
0.000784843796914714,9,76,4.58979795460215,"Path:hsa05140 Leishmaniasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05140 "," CR1  IFNG  IL1B  IL4  IL10  IL12A  IL12B  NOS2  TGFB1"
0.00078512064386246,11,112,3.80661814488829,"Path:hsa05145 Toxoplasmosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05145 "," CCR5  AKT1  AKT2  HSPA8  IFNG  IL10  IL12A  IL12B  NOS2  TGFB1  TNFRSF1A"
0.000796292083368779,10,94,4.12322274881517,"Path:hsa05150 Staphylococcus aureus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05150 "," KRT25  FGG  IL10  KRT9  KRT10  KRT14  KRT15  KRT16  PLG  SELP"
0.00111558188645496,7,48,5.65225118483412,"Path:hsa04672 Intestinal immune network for IgA production","http://www.genome.jp/kegg-bin/show_pathway?hsa04672 "," IL2  IL4  IL6  IL10  IL15  TGFB1  CXCR4"
0.00162768038835241,10,103,3.76294114940413,"Path:hsa04620 Toll-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04620 "," AKT1  AKT2  IL1B  IL6  CXCL8  IL12A  IL12B  CXCL10  CXCL9  TRAF3"
0.00192078576180672,60,1538,1.51202706783599,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," ADA  GNPDA1  ACAA2  ATP5PD  UQCR11  CKB  CKM  CKMT2  DLD  ENO1  ENO3  AK1  ALDOA  FH  ALDOC  GAPDH  GCNT1  AMPD3  GLUD1  GMDS  GOT1  GPX1  GSS  GSTA4  GSTP1  HADH  HMOX1  ACADM  IDH2  IDH3A  ACADVL  ACAT1  MDH1  MT-ATP6  MT-CO3  MT-CYB  MTHFD1  MT-ND1  NDUFA10  NDUFV1  NDUFV2  NOS2  ATP5F1A  ATP5F1B  LAP3  PDE4A  ATP5PB  PFKL  PGAM1  PGAM2  PKM  PRODH  SDHB  BLVRB  UGP2  UQCRC1  UQCRC2  CAT  ALDH4A1  PRDX6"
0.00278618515422552,11,131,3.2545132231106,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CSNK1E  AKT1  AKT2  FASLG  IL6  IL10  SOD2  TGFB1  CAT  TNFSF10  CCNB1"
0.00303384762656046,7,57,4.75979047143926,"Path:hsa05134 Legionellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05134 "," CR1  HSPA8  IL1B  IL6  CXCL8  IL12A  IL12B"
0.00336816285713744,16,249,2.49049277679438,"Path:hsa05132 Salmonella infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05132 "," ACTR3  AKT1  AKT2  GAPDH  ANXA2  HSP90AA1  IL1B  IL6  CXCL8  MYL2  KLC2  TNFRSF1A  HSP90B1  TUBA1C  TNFSF10  TNFRSF10B"
0.0035488773491252,11,136,3.13486200167271,"Path:hsa04210 Apoptosis","http://www.genome.jp/kegg-bin/show_pathway?hsa04210 "," PARP1  CTSD  AKT1  AKT2  FASLG  BCL2A1  TNFRSF1A  CASP10  TUBA1C  TNFSF10  TNFRSF10B"
0.0035488773491252,6,43,5.40813402402733,"Path:hsa04940 Type I diabetes mellitus","http://www.genome.jp/kegg-bin/show_pathway?hsa04940 "," IFNG  IL1B  IL2  FASLG  IL12A  IL12B"
0.00366295458240811,9,96,3.63359004739337,"Path:hsa05414 Dilated cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05414 "," DES  MYH7  MYL2  MYL3  ACTC1  TGFB1  TNNI3  TNNT2  TPM1"
0.00460985464188668,7,62,4.3759364011619,"Path:hsa04213 Longevity regulating pathway-multiple species","http://www.genome.jp/kegg-bin/show_pathway?hsa04213 "," AKT1  AKT2  HSPA8  SOD1  SOD2  CLPB  CAT"
0.00578667276636263,13,191,2.63799905709536,"Path:hsa04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04062 "," CCR3  CCR4  CCR5  AKT1  AKT2  CXCR3  CXCL8  CXCL10  CXCL9  CCL2  CCL17  CXCL5  CXCR4"
0.00616446179706035,9,104,3.3540831206708,"Path:hsa04625 C-type lectin receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04625 "," AKT1  AKT2  IL1B  IL2  IL6  IL10  IL12A  IL12B  CCL17"
0.00739400393694859,13,197,2.55765390814829,"Path:hsa05130 Pathogenic Escherichia coli infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05130 "," ACTR3  F2  GAPDH  IL1B  FASLG  IL6  CXCL8  MYO1C  TNFRSF1A  MYH14  TUBA1C  TNFSF10  TNFRSF10B"
0.0085658712323256,8,89,3.48389158102135,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," PPARGC1A  AKT1  AKT2  ADIPOR1  PPARG  SOD2  CAT  ADIPOQ"
0.008671478038471,7,70,3.87582938388626,"Path:hsa05230 Central carbon metabolism in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05230 "," AKT1  AKT2  IDH2  PFKL  PGAM1  PGAM2  PKM"
0.0120932589773529,10,138,2.80857201730888,"Path:hsa04371 Apelin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04371 "," PPARGC1A  EGR1  AKT1  AKT2  MEF2C  MYL2  MYL3  MYL4  NOS2  SERPINE1"
0.012541856684589,10,139,2.78836646322752,"Path:hsa05162 Measles","http://www.genome.jp/kegg-bin/show_pathway?hsa05162 "," AKT1  AKT2  HSPA8  IL1B  IL2  FASLG  IL6  IL12A  IL12B  TRAF3"
0.0132175398677764,6,57,4.0798204040908,"Path:hsa00480 Glutathione metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00480 "," GPX1  GSS  GSTA4  GSTP1  IDH2  LAP3"
0.0155327165482888,9,121,2.88284830206416,"Path:hsa04152 AMPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04152 "," PPARGC1A  AKT1  AKT2  LEP  LEPR  ADIPOR1  PFKL  PPARG  ADIPOQ"
0.0164170198843758,5,42,4.61408259986459,"Path:hsa05332 Graft-versus-host disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05332 "," IFNG  IL1B  IL2  FASLG  IL6"
0.0179235292802807,5,43,4.50677835335611,"Path:hsa00071 Fatty acid degradation","http://www.genome.jp/kegg-bin/show_pathway?hsa00071 "," ECI2  HADH  ACADM  ACADVL  ACAT1"
0.0190683839767972,10,149,2.60122777442031,"Path:hsa04261 Adrenergic signaling in cardiomyocytes","http://www.genome.jp/kegg-bin/show_pathway?hsa04261 "," AKT1  AKT2  MYH7  MYL2  MYL3  MYL4  ACTC1  TNNI3  TNNT2  TPM1"
0.0245066499302982,8,108,2.87098472880463,"Path:hsa04659 Th17 cell differentiation","http://www.genome.jp/kegg-bin/show_pathway?hsa04659 "," HSP90AA1  IFNG  IL1B  IL2  IL4  IL6  IL17A  TGFB1"
0.0249490884033976,5,47,4.12322274881517,"Path:hsa00620 Pyruvate metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00620 "," DLD  FH  ACAT1  MDH1  PKM"
0.0249490884033976,4,30,5.16777251184834,"Path:hsa00630 Glyoxylate and dicarboxylate metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00630 "," DLD  ACAT1  MDH1  CAT"
0.0312671532296562,9,137,2.5461652886844,"Path:hsa05135 Yersinia infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05135 "," ACTR3  AKT1  AKT2  IL1B  IL2  IL6  CXCL8  IL10  CCL2"
0.031347406293219,6,70,3.32213947190251,"Path:hsa04622 RIG-I-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04622 "," CXCL8  IL12A  IL12B  CXCL10  TRAF3  CASP10"
0.031347406293219,10,162,2.39248727400386,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," AKT1  AKT2  FASLG  IL6  CXCL8  MMP9  TGFB1  TRAF3  YWHAZ  CASP10"
0.0332112149637359,4,33,4.69797501077122,"Path:hsa00051 Fructose and mannose metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00051 "," ALDOA  ALDOC  GMDS  PFKL"
0.0371938432611922,6,73,3.18561319223528,"Path:hsa01524 Platinum drug resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01524 "," AKT1  AKT2  GSTA4  GSTP1  FASLG  MSH2"
0.0398930664421782,3,19,6.11973060613619,"Path:hsa01210 2-Oxocarboxylic acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01210 "," GOT1  IDH2  IDH3A"
0.0405754438374126,6,75,3.100663507109,"Path:hsa03320 PPAR signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa03320 "," APOA1  ACADM  APOC3  MMP1  PPARG  ADIPOQ"
0.0405754438374126,7,97,2.79699027703132,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 "," AKT1  AKT2  GSTP1  HSP90AA1  MMP9  PDGFB  HSP90B1"
0.0415176196136852,12,224,2.07633716993907,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CCR3  CCR5  AKT1  AKT2  PDIA3  IL1B  FASLG  IL6  CXCL8  CCL2  TNFRSF1A  CXCR4"
0.0502134762115245,6,79,2.94366788649589,"Path:hsa03018 RNA degradation","http://www.genome.jp/kegg-bin/show_pathway?hsa03018 "," ENO1  ENO3  CNOT10  DCPS  HSPA9  PFKL"
0.0549805742265855,7,104,2.60873131607729,"Path:hsa04064 NF-kappa B signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04064 "," PARP1  IL1B  CXCL8  BCL2A1  TNFRSF1A  TRAF3  VCAM1"
0.0552383519821327,3,22,5.28522188711762,"Path:hsa00220 Arginine biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00220 "," GLUD1  GOT1  NOS2"
0.0552383519821327,8,129,2.40361512178993,"Path:hsa04926 Relaxin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04926 "," COL4A2  AKT1  AKT2  MMP1  MMP2  MMP9  NOS2  TGFB1"
0.056594181358655,6,82,2.83597271991677,"Path:hsa04146 Peroxisome","http://www.genome.jp/kegg-bin/show_pathway?hsa04146 "," ECI2  IDH2  NOS2  SOD1  SOD2  CAT"
0.0576236359484975,7,106,2.55950997049092,"Path:hsa04922 Glucagon signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04922 "," PPARGC1A  AKT1  AKT2  PFKL  PGAM1  PGAM2  PKM"
0.0597355414582247,4,41,3.78129695988903,"Path:hsa04216 Ferroptosis","http://www.genome.jp/kegg-bin/show_pathway?hsa04216 "," CP  GSS  HMOX1  TF"
0.0597355414582247,4,41,3.78129695988903,"Path:hsa05219 Bladder cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05219 "," CXCL8  MMP1  MMP2  MMP9"
