"User_input","STRINGdb ID","Species"
"Q4CK93","Q4CK93","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKA1","Q4CKA1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKA5","Q4CKA5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKB6","Q4CKB6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKC3","Q4CKC3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKD0","Q4CKD0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKD7","Q4CKD7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKE7","Q4CKE7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKF6","Q4CKF6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKF7","Q4CKF7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKF9","Q4CKF9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKG2","Q4CKG2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKI5","Q4CKI5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKI9","Q4CKI9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKJ2","Q4CKJ2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKK3","Q4CKK3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKL3","Q4CKL3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKL4","Q4CKL4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKL9","Q4CKL9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKM9","Q4CKM9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKN1","Q4CKN1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKN4","Q4CKN4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKN8","Q4CKN8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKP5","Q4CKP5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKR2","Q4CKR2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKR4","Q4CKR4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKS4","Q4CKS4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKT1","Q4CKT1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKU3","Q4CKU3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKU4","Q4CKU4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKV0","Q4CKV0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKV1","Q4CKV1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CKW0","Q4CKW0","Trypanosoma cruzi strain CL Brener STRINGdb"
