inputGenes	preferredNames
5693.XP_802205.1	XP_802205.1
5693.XP_802366.1	XP_802366.1
5693.XP_802438.1	XP_802438.1
5693.XP_802461.1	XP_802461.1
5693.XP_802551.1	XP_802551.1
5693.XP_802554.1	XP_802554.1
5693.XP_802591.1	XP_802591.1
5693.XP_802638.1	XP_802638.1
5693.XP_802680.1	XP_802680.1
5693.XP_802830.1	XP_802830.1
5693.XP_802909.1	XP_802909.1
5693.XP_802959.1	XP_802959.1
5693.XP_803017.1	XP_803017.1
5693.XP_803225.1	XP_803225.1
5693.XP_803226.1	XP_803226.1
5693.XP_803626.1	XP_803626.1
5693.XP_804075.1	XP_804075.1
5693.XP_804087.1	XP_804087.1
5693.XP_804247.1	XP_804247.1
5693.XP_804383.1	XP_804383.1
5693.XP_804406.1	XP_804406.1
5693.XP_804417.1	XP_804417.1
5693.XP_804452.1	XP_804452.1
5693.XP_804486.1	XP_804486.1
5693.XP_804513.1	XP_804513.1
5693.XP_804551.1	XP_804551.1
5693.XP_804632.1	XP_804632.1
5693.XP_804865.1	XP_804865.1
5693.XP_804915.1	XP_804915.1
5693.XP_805060.1	XP_805060.1
5693.XP_805157.1	XP_805157.1
5693.XP_805198.1	XP_805198.1
5693.XP_805248.1	XP_805248.1
5693.XP_805492.1	XP_805492.1
5693.XP_805624.1	XP_805624.1
5693.XP_805625.1	XP_805625.1
5693.XP_806759.1	XP_806759.1
5693.XP_807085.1	XP_807085.1
5693.XP_807153.1	XP_807153.1
5693.XP_807577.1	XP_807577.1
5693.XP_807963.1	XP_807963.1
5693.XP_808190.1	XP_808190.1
5693.XP_808478.1	XP_808478.1
5693.XP_808512.1	XP_808512.1
5693.XP_808829.1	XP_808829.1
5693.XP_809491.1	XP_809491.1
5693.XP_810054.1	XP_810054.1
5693.XP_810526.1	XP_810526.1
5693.XP_810575.1	XP_810575.1
5693.XP_810976.1	XP_810976.1
5693.XP_812282.1	XP_812282.1
5693.XP_812446.1	XP_812446.1
5693.XP_812594.1	XP_812594.1
5693.XP_813569.1	XP_813569.1
5693.XP_814040.1	XP_814040.1
5693.XP_814458.1	XP_814458.1
5693.XP_816236.1	XP_816236.1
5693.XP_817613.1	XP_817613.1
5693.XP_818000.1	XP_818000.1
5693.XP_818351.1	XP_818351.1
5693.XP_818355.1	XP_818355.1
5693.XP_819655.1	XP_819655.1
5693.XP_819657.1	XP_819657.1
5693.XP_820673.1	XP_820673.1
5693.XP_820675.1	XP_820675.1
5693.XP_821901.1	XP_821901.1
5693.XP_821907.1	XP_821907.1
5693.XP_821911.1	XP_821911.1
