inputGenes	preferredNames
5693.XP_802282.1	XP_802282.1
5693.XP_802322.1	XP_802322.1
5693.XP_802389.1	XP_802389.1
5693.XP_802569.1	XP_802569.1
5693.XP_802838.1	XP_802838.1
5693.XP_802870.1	XP_802870.1
5693.XP_802992.1	XP_802992.1
5693.XP_803099.1	XP_803099.1
5693.XP_803101.1	XP_803101.1
5693.XP_803174.1	XP_803174.1
5693.XP_803701.1	XP_803701.1
5693.XP_803926.1	XP_803926.1
5693.XP_804152.1	XP_804152.1
5693.XP_804700.1	XP_804700.1
5693.XP_804810.1	XP_804810.1
5693.XP_804811.1	XP_804811.1
5693.XP_804837.1	XP_804837.1
5693.XP_804839.1	XP_804839.1
5693.XP_804954.1	XP_804954.1
5693.XP_805067.1	XP_805067.1
5693.XP_805337.1	XP_805337.1
5693.XP_805562.1	XP_805562.1
5693.XP_805623.1	XP_805623.1
5693.XP_805787.1	XP_805787.1
5693.XP_805788.1	XP_805788.1
5693.XP_805795.1	XP_805795.1
5693.XP_805797.1	XP_805797.1
5693.XP_805886.1	XP_805886.1
5693.XP_805910.1	XP_805910.1
5693.XP_806128.1	XP_806128.1
5693.XP_806183.1	XP_806183.1
5693.XP_806184.1	XP_806184.1
5693.XP_806253.1	XP_806253.1
5693.XP_806254.1	XP_806254.1
5693.XP_806574.1	XP_806574.1
5693.XP_806671.1	XP_806671.1
5693.XP_806673.1	XP_806673.1
5693.XP_806676.1	XP_806676.1
5693.XP_806895.1	XP_806895.1
5693.XP_806903.1	XP_806903.1
5693.XP_807053.1	XP_807053.1
5693.XP_807054.1	XP_807054.1
5693.XP_807164.1	XP_807164.1
5693.XP_807442.1	XP_807442.1
5693.XP_807463.1	XP_807463.1
5693.XP_807465.1	XP_807465.1
5693.XP_807552.1	XP_807552.1
5693.XP_807587.1	XP_807587.1
5693.XP_807588.1	XP_807588.1
5693.XP_807591.1	XP_807591.1
5693.XP_808184.1	XP_808184.1
5693.XP_808640.1	XP_808640.1
5693.XP_808642.1	XP_808642.1
5693.XP_808838.1	XP_808838.1
5693.XP_808842.1	XP_808842.1
5693.XP_808843.1	XP_808843.1
5693.XP_808984.1	XP_808984.1
5693.XP_808987.1	XP_808987.1
5693.XP_808990.1	XP_808990.1
5693.XP_809284.1	XP_809284.1
5693.XP_809286.1	XP_809286.1
5693.XP_809904.1	XP_809904.1
5693.XP_810426.1	XP_810426.1
5693.XP_810498.1	XP_810498.1
5693.XP_810611.1	XP_810611.1
5693.XP_810740.1	XP_810740.1
5693.XP_810742.1	XP_810742.1
5693.XP_810744.1	XP_810744.1
5693.XP_810746.1	XP_810746.1
5693.XP_810832.1	XP_810832.1
5693.XP_810906.1	XP_810906.1
5693.XP_810908.1	XP_810908.1
5693.XP_810910.1	XP_810910.1
5693.XP_811141.1	XP_811141.1
5693.XP_811144.1	XP_811144.1
5693.XP_811146.1	XP_811146.1
5693.XP_811312.1	XP_811312.1
5693.XP_811653.1	XP_811653.1
5693.XP_811655.1	XP_811655.1
5693.XP_811657.1	XP_811657.1
