inputGenes	preferredNames
5693.XP_802149.1	XP_802149.1
5693.XP_802204.1	XP_802204.1
5693.XP_802489.1	XP_802489.1
5693.XP_802663.1	XP_802663.1
5693.XP_802881.1	XP_802881.1
5693.XP_802969.1	XP_802969.1
5693.XP_803018.1	XP_803018.1
5693.XP_803114.1	XP_803114.1
5693.XP_803225.1	XP_803225.1
5693.XP_803928.1	XP_803928.1
5693.XP_803970.1	XP_803970.1
5693.XP_804097.1	XP_804097.1
5693.XP_804111.1	XP_804111.1
5693.XP_804239.1	XP_804239.1
5693.XP_804240.1	XP_804240.1
5693.XP_804247.1	XP_804247.1
5693.XP_804300.1	XP_804300.1
5693.XP_804406.1	XP_804406.1
5693.XP_804414.1	XP_804414.1
5693.XP_804417.1	XP_804417.1
5693.XP_804435.1	XP_804435.1
5693.XP_804485.1	XP_804485.1
5693.XP_804513.1	XP_804513.1
5693.XP_804523.1	XP_804523.1
5693.XP_804632.1	XP_804632.1
5693.XP_804690.1	XP_804690.1
5693.XP_804865.1	XP_804865.1
5693.XP_805060.1	XP_805060.1
5693.XP_805157.1	XP_805157.1
5693.XP_805185.1	XP_805185.1
5693.XP_805248.1	XP_805248.1
5693.XP_805311.1	XP_805311.1
5693.XP_805374.1	XP_805374.1
5693.XP_805485.1	XP_805485.1
5693.XP_805492.1	XP_805492.1
5693.XP_805624.1	XP_805624.1
5693.XP_805736.1	XP_805736.1
5693.XP_806185.1	XP_806185.1
5693.XP_806659.1	XP_806659.1
5693.XP_806745.1	XP_806745.1
5693.XP_806759.1	XP_806759.1
5693.XP_807085.1	XP_807085.1
5693.XP_807577.1	XP_807577.1
5693.XP_808190.1	XP_808190.1
5693.XP_808478.1	XP_808478.1
5693.XP_808512.1	XP_808512.1
5693.XP_808829.1	XP_808829.1
5693.XP_809491.1	XP_809491.1
5693.XP_810054.1	XP_810054.1
5693.XP_810526.1	XP_810526.1
5693.XP_810575.1	XP_810575.1
5693.XP_812282.1	XP_812282.1
5693.XP_812446.1	XP_812446.1
5693.XP_812594.1	XP_812594.1
5693.XP_812595.1	XP_812595.1
5693.XP_813569.1	XP_813569.1
5693.XP_814040.1	XP_814040.1
5693.XP_814458.1	XP_814458.1
5693.XP_816236.1	XP_816236.1
5693.XP_816771.1	XP_816771.1
5693.XP_817613.1	XP_817613.1
5693.XP_818351.1	XP_818351.1
5693.XP_818355.1	XP_818355.1
5693.XP_819655.1	XP_819655.1
5693.XP_819657.1	XP_819657.1
5693.XP_820673.1	XP_820673.1
5693.XP_820675.1	XP_820675.1
5693.XP_821901.1	XP_821901.1
5693.XP_821907.1	XP_821907.1
5693.XP_821911.1	XP_821911.1
