inputGenes	preferredNames
5693.XP_802774.1	XP_802774.1
5693.XP_802872.1	XP_802872.1
5693.XP_803215.1	XP_803215.1
5693.XP_803288.1	XP_803288.1
5693.XP_803689.1	XP_803689.1
5693.XP_803876.1	XP_803876.1
5693.XP_803998.1	XP_803998.1
5693.XP_804002.1	XP_804002.1
5693.XP_804067.1	XP_804067.1
5693.XP_804281.1	XP_804281.1
5693.XP_804531.1	XP_804531.1
5693.XP_804532.1	XP_804532.1
5693.XP_804579.1	XP_804579.1
5693.XP_805199.1	XP_805199.1
5693.XP_808101.1	XP_808101.1
5693.XP_808476.1	XP_808476.1
5693.XP_808496.1	XP_808496.1
5693.XP_808789.1	XP_808789.1
5693.XP_809614.1	XP_809614.1
5693.XP_810904.1	XP_810904.1
5693.XP_811407.1	XP_811407.1
5693.XP_812161.1	XP_812161.1
5693.XP_815153.1	XP_815153.1
5693.XP_815809.1	XP_815809.1
