inputGenes	preferredNames
5693.XP_804575.1	XP_804575.1
5693.XP_806255.1	XP_806255.1
5693.XP_806573.1	XP_806573.1
5693.XP_807032.1	XP_807032.1
5693.XP_807443.1	XP_807443.1
5693.XP_808183.1	XP_808183.1
5693.XP_808856.1	XP_808856.1
5693.XP_808857.1	XP_808857.1
5693.XP_810834.1	XP_810834.1
5693.XP_811310.1	XP_811310.1
5693.XP_811403.1	XP_811403.1
5693.XP_811654.1	XP_811654.1
5693.XP_812337.1	XP_812337.1
5693.XP_812338.1	XP_812338.1
5693.XP_812342.1	XP_812342.1
5693.XP_812552.1	XP_812552.1
5693.XP_812555.1	XP_812555.1
5693.XP_814491.1	XP_814491.1
5693.XP_815499.1	XP_815499.1
5693.XP_815502.1	XP_815502.1
5693.XP_815839.1	XP_815839.1
5693.XP_815844.1	XP_815844.1
5693.XP_815846.1	XP_815846.1
5693.XP_816768.1	XP_816768.1
5693.XP_817998.1	XP_817998.1
5693.XP_818309.1	XP_818309.1
5693.XP_819001.1	XP_819001.1
5693.XP_819654.1	XP_819654.1
