inputGenes	preferredNames
5693.XP_802141.1	XP_802141.1
5693.XP_802210.1	XP_802210.1
5693.XP_802310.1	XP_802310.1
5693.XP_802478.1	XP_802478.1
5693.XP_802658.1	XP_802658.1
5693.XP_803106.1	XP_803106.1
5693.XP_803127.1	XP_803127.1
5693.XP_803177.1	XP_803177.1
5693.XP_803294.1	XP_803294.1
5693.XP_803346.1	XP_803346.1
5693.XP_803445.1	XP_803445.1
5693.XP_804070.1	XP_804070.1
5693.XP_804143.1	XP_804143.1
5693.XP_804167.1	XP_804167.1
5693.XP_804264.1	XP_804264.1
5693.XP_804321.1	XP_804321.1
5693.XP_804431.1	XP_804431.1
5693.XP_804453.1	XP_804453.1
5693.XP_805334.1	XP_805334.1
5693.XP_805921.1	XP_805921.1
5693.XP_806266.1	XP_806266.1
5693.XP_806277.1	XP_806277.1
5693.XP_806278.1	XP_806278.1
5693.XP_806807.1	XP_806807.1
5693.XP_807201.1	XP_807201.1
5693.XP_807337.1	XP_807337.1
5693.XP_807657.1	XP_807657.1
5693.XP_807987.1	XP_807987.1
5693.XP_808558.1	XP_808558.1
5693.XP_808563.1	XP_808563.1
5693.XP_808564.1	XP_808564.1
5693.XP_809096.1	XP_809096.1
5693.XP_809572.1	XP_809572.1
5693.XP_809616.1	XP_809616.1
5693.XP_810074.1	XP_810074.1
5693.XP_810527.1	XP_810527.1
5693.XP_810616.1	XP_810616.1
5693.XP_812283.1	XP_812283.1
5693.XP_812812.1	XP_812812.1
5693.XP_813145.1	XP_813145.1
5693.XP_814459.1	XP_814459.1
5693.XP_814922.1	XP_814922.1
5693.XP_814924.1	XP_814924.1
5693.XP_816534.1	XP_816534.1
5693.XP_817610.1	XP_817610.1
5693.XP_819653.1	XP_819653.1
5693.XP_820302.1	XP_820302.1
