User_input	STRINGdb ID
A9LN32	RPRC015440-PA
D2KEZ9	RPRC002095-PA
D2KF00	RPRC011668-PA
D2KF01	RPRC000519-PA
D6BJP6	RPRC013002-PA
F1AYR6	RPRC000596-PA
F2FB36	RPRC000022-PA
G0Z066	RPRC001027-PA
G1K0B6	RPRC006865-PA
G1K0B7	RPRC009189-PA
G1K0B8	RPRC006392-PA
G1K0B9	RPRC014587-PA
G1K0C3	RPRC009702-PA
G1K0C9	RPRC001328-PA
G1K0D1	RPRC002402-PA
G1K0D3	RPRC009716-PA
G1K0D5	RPRC010075-PA
G1K0E2	RPRC002624-PA
M1FRK7	RPRC004037-PA
Q7YSZ1	RPRC005063-PA
Q7YSZ2	RPRC007594-PA
Q7YSZ4	RPRC010284-PA
Q86MY2	RPRC004803-PA
R4FJ77	RPRC015118-PA
R4FJ83	RPRC015059-PA
R4FJ99	RPRC012425-PA
R4FJA9	RPRC007652-PA
R4FJC8	RPRC009857-PA
R4FJE0	RPRC006190-PA
R4FJE5	RPRC005741-PA
R4FJF3	RPRC002428-PA
R4FJG3	RPRC014881-PA
R4FJG7	RPRC005058-PA
R4FJH5	RPRC003268-PA
R4FJI8	RPRC009473-PA
R4FJJ3	RPRC011258-PA
R4FJJ6	RPRC008312-PA
R4FJK1	RPRC013273-PA
R4FJK7	RPRC003071-PA
R4FJM5	RPRC004685-PA
R4FJN0	RPRC003299-PA
R4FJN5	RPRC003436-PA
R4FJP3	RPRC005171-PA
R4FJP7	RPRC009852-PA
R4FJR0	RPRC008131-PA
R4FJR9	RPRC004569-PA
R4FJS4	RPRC006531-PA
R4FJS9	RPRC007809-PA
R4FJT4	RPRC014417-PA
R4FJT9	RPRC006278-PA
R4FJU5	RPRC013418-PA
R4FJV0	RPRC003747-PA
R4FJV5	RPRC007249-PA
R4FJX1	RPRC013088-PA
R4FJX9	RPRC009122-PA
R4FJY4	RPRC005477-PA
R4FJZ0	RPRC008960-PA
R4FJZ7	RPRC002657-PA
R4FK07	RPRC015088-PA
R4FK19	RPRC013688-PA
R4FK33	RPRC009715-PA
R4FK38	RPRC005164-PA
R4FK40	RPRC011316-PA
R4FK45	RPRC005410-PA
R4FK60	RPRC010072-PA
R4FK63	RPRC009760-PA
R4FK66	RPRC004655-PA
R4FK76	RPRC000415-PA
