inputGenes	preferredNames
13249.RPRC000445-PA	RPRC000445-PA
13249.RPRC000552-PA	RPRC000552-PA
13249.RPRC000689-PA	RPRC000689-PA
13249.RPRC000698-PA	RPRC000698-PA
13249.RPRC000739-PA	RPRC000739-PA
13249.RPRC000758-PA	RPRC000758-PA
13249.RPRC000810-PA	RPRC000810-PA
13249.RPRC002028-PA	RPRC002028-PA
13249.RPRC002067-PA	RPRC002067-PA
13249.RPRC002616-PA	RPRC002616-PA
13249.RPRC003241-PA	RPRC003241-PA
13249.RPRC003270-PA	RPRC003270-PA
13249.RPRC003317-PA	RPRC003317-PA
13249.RPRC003700-PA	RPRC003700-PA
13249.RPRC003927-PA	RPRC003927-PA
13249.RPRC004188-PA	RPRC004188-PA
13249.RPRC004605-PA	RPRC004605-PA
13249.RPRC005015-PA	RPRC005015-PA
13249.RPRC005021-PA	RPRC005021-PA
13249.RPRC005281-PA	RPRC005281-PA
13249.RPRC005617-PA	RPRC005617-PA
13249.RPRC005640-PA	RPRC005640-PA
13249.RPRC005826-PA	RPRC005826-PA
13249.RPRC006056-PA	RPRC006056-PA
13249.RPRC006216-PA	RPRC006216-PA
13249.RPRC006547-PA	RPRC006547-PA
13249.RPRC006550-PA	RPRC006550-PA
13249.RPRC006919-PA	RPRC006919-PA
13249.RPRC007098-PA	RPRC007098-PA
13249.RPRC007235-PA	RPRC007235-PA
13249.RPRC007429-PA	RPRC007429-PA
13249.RPRC007433-PA	RPRC007433-PA
13249.RPRC007546-PA	RPRC007546-PA
13249.RPRC007611-PA	RPRC007611-PA
13249.RPRC008178-PA	RPRC008178-PA
13249.RPRC008452-PA	RPRC008452-PA
13249.RPRC008483-PA	RPRC008483-PA
13249.RPRC008519-PA	RPRC008519-PA
13249.RPRC008535-PA	RPRC008535-PA
13249.RPRC008868-PA	RPRC008868-PA
13249.RPRC009021-PA	RPRC009021-PA
13249.RPRC009039-PA	RPRC009039-PA
13249.RPRC009288-PA	RPRC009288-PA
13249.RPRC009488-PA	RPRC009488-PA
13249.RPRC009489-PA	RPRC009489-PA
13249.RPRC009553-PA	RPRC009553-PA
13249.RPRC009777-PA	RPRC009777-PA
13249.RPRC009816-PA	RPRC009816-PA
13249.RPRC009817-PA	RPRC009817-PA
13249.RPRC009981-PA	RPRC009981-PA
13249.RPRC010552-PA	RPRC010552-PA
13249.RPRC010644-PA	RPRC010644-PA
13249.RPRC010945-PA	RPRC010945-PA
13249.RPRC010963-PA	RPRC010963-PA
13249.RPRC010987-PA	RPRC010987-PA
13249.RPRC011068-PA	RPRC011068-PA
13249.RPRC011069-PA	RPRC011069-PA
13249.RPRC011161-PA	RPRC011161-PA
13249.RPRC011744-PA	RPRC011744-PA
13249.RPRC011867-PA	RPRC011867-PA
13249.RPRC012019-PA	RPRC012019-PA
13249.RPRC012101-PA	RPRC012101-PA
13249.RPRC012146-PA	RPRC012146-PA
13249.RPRC012271-PA	RPRC012271-PA
13249.RPRC012572-PA	RPRC012572-PA
13249.RPRC012595-PA	RPRC012595-PA
13249.RPRC012609-PA	RPRC012609-PA
13249.RPRC012614-PA	RPRC012614-PA
13249.RPRC012889-PA	RPRC012889-PA
13249.RPRC012950-PA	RPRC012950-PA
13249.RPRC013250-PA	RPRC013250-PA
13249.RPRC013260-PA	RPRC013260-PA
13249.RPRC013461-PA	RPRC013461-PA
13249.RPRC013484-PA	RPRC013484-PA
13249.RPRC013874-PA	RPRC013874-PA
13249.RPRC013917-PA	RPRC013917-PA
13249.RPRC014329-PA	RPRC014329-PA
13249.RPRC014643-PA	RPRC014643-PA
13249.RPRC015232-PA	RPRC015232-PA
13249.RPRC015273-PA	RPRC015273-PA
