inputGenes	preferredNames
13249.RPRC000415-PA	RPRC000415-PA
13249.RPRC000689-PA	RPRC000689-PA
13249.RPRC000698-PA	RPRC000698-PA
13249.RPRC000810-PA	RPRC000810-PA
13249.RPRC001337-PA	RPRC001337-PA
13249.RPRC001704-PA	RPRC001704-PA
13249.RPRC002067-PA	RPRC002067-PA
13249.RPRC002217-PA	RPRC002217-PA
13249.RPRC002218-PA	RPRC002218-PA
13249.RPRC002697-PA	RPRC002697-PA
13249.RPRC002738-PA	RPRC002738-PA
13249.RPRC002752-PA	RPRC002752-PA
13249.RPRC003443-PA	RPRC003443-PA
13249.RPRC003627-PA	RPRC003627-PA
13249.RPRC003824-PA	RPRC003824-PA
13249.RPRC003876-PA	RPRC003876-PA
13249.RPRC003881-PA	RPRC003881-PA
13249.RPRC004137-PA	RPRC004137-PA
13249.RPRC004188-PA	RPRC004188-PA
13249.RPRC004443-PA	RPRC004443-PA
13249.RPRC004836-PA	RPRC004836-PA
13249.RPRC004969-PA	RPRC004969-PA
13249.RPRC005021-PA	RPRC005021-PA
13249.RPRC005074-PA	RPRC005074-PA
13249.RPRC005166-PA	RPRC005166-PA
13249.RPRC005298-PA	RPRC005298-PA
13249.RPRC005382-PA	RPRC005382-PA
13249.RPRC005616-PA	RPRC005616-PA
13249.RPRC005748-PA	RPRC005748-PA
13249.RPRC005936-PA	RPRC005936-PA
13249.RPRC006223-PA	RPRC006223-PA
13249.RPRC006246-PA	RPRC006246-PA
13249.RPRC006576-PA	RPRC006576-PA
13249.RPRC006711-PA	RPRC006711-PA
13249.RPRC006715-PA	RPRC006715-PA
13249.RPRC007098-PA	RPRC007098-PA
13249.RPRC007149-PA	RPRC007149-PA
13249.RPRC007235-PA	RPRC007235-PA
13249.RPRC007429-PA	RPRC007429-PA
13249.RPRC007433-PA	RPRC007433-PA
13249.RPRC007546-PA	RPRC007546-PA
13249.RPRC007611-PA	RPRC007611-PA
13249.RPRC007778-PA	RPRC007778-PA
13249.RPRC007802-PA	RPRC007802-PA
13249.RPRC008284-PA	RPRC008284-PA
13249.RPRC008800-PA	RPRC008800-PA
13249.RPRC008868-PA	RPRC008868-PA
13249.RPRC009288-PA	RPRC009288-PA
13249.RPRC009315-PA	RPRC009315-PA
13249.RPRC009457-PA	RPRC009457-PA
13249.RPRC009488-PA	RPRC009488-PA
13249.RPRC009514-PA	RPRC009514-PA
13249.RPRC009550-PA	RPRC009550-PA
13249.RPRC010641-PA	RPRC010641-PA
13249.RPRC010644-PA	RPRC010644-PA
13249.RPRC010987-PA	RPRC010987-PA
13249.RPRC011029-PA	RPRC011029-PA
13249.RPRC011068-PA	RPRC011068-PA
13249.RPRC011069-PA	RPRC011069-PA
13249.RPRC011124-PA	RPRC011124-PA
13249.RPRC011539-PA	RPRC011539-PA
13249.RPRC011867-PA	RPRC011867-PA
13249.RPRC012146-PA	RPRC012146-PA
13249.RPRC012549-PA	RPRC012549-PA
13249.RPRC012595-PA	RPRC012595-PA
13249.RPRC012609-PA	RPRC012609-PA
13249.RPRC012833-PA	RPRC012833-PA
13249.RPRC012889-PA	RPRC012889-PA
13249.RPRC013250-PA	RPRC013250-PA
13249.RPRC013368-PA	RPRC013368-PA
13249.RPRC013447-PA	RPRC013447-PA
13249.RPRC013602-PA	RPRC013602-PA
13249.RPRC013825-PA	RPRC013825-PA
13249.RPRC013917-PA	RPRC013917-PA
13249.RPRC014110-PA	RPRC014110-PA
13249.RPRC014613-PA	RPRC014613-PA
13249.RPRC014869-PA	RPRC014869-PA
13249.RPRC015264-PA	RPRC015264-PA
13249.RPRC015311-PA	RPRC015311-PA
