inputGenes	preferredNames
13249.RPRC000552-PA	RPRC000552-PA
13249.RPRC000574-PA	RPRC000574-PA
13249.RPRC000689-PA	RPRC000689-PA
13249.RPRC001467-PA	RPRC001467-PA
13249.RPRC001704-PA	RPRC001704-PA
13249.RPRC001945-PA	RPRC001945-PA
13249.RPRC002028-PA	RPRC002028-PA
13249.RPRC002217-PA	RPRC002217-PA
13249.RPRC002218-PA	RPRC002218-PA
13249.RPRC002312-PA	RPRC002312-PA
13249.RPRC002489-PA	RPRC002489-PA
13249.RPRC002534-PA	RPRC002534-PA
13249.RPRC002738-PA	RPRC002738-PA
13249.RPRC002885-PA	RPRC002885-PA
13249.RPRC002942-PA	RPRC002942-PA
13249.RPRC003241-PA	RPRC003241-PA
13249.RPRC003302-PA	RPRC003302-PA
13249.RPRC003317-PA	RPRC003317-PA
13249.RPRC003384-PA	RPRC003384-PA
13249.RPRC003833-PA	RPRC003833-PA
13249.RPRC003961-PA	RPRC003961-PA
13249.RPRC004042-PA	RPRC004042-PA
13249.RPRC004188-PA	RPRC004188-PA
13249.RPRC004466-PA	RPRC004466-PA
13249.RPRC004830-PA	RPRC004830-PA
13249.RPRC004874-PA	RPRC004874-PA
13249.RPRC004969-PA	RPRC004969-PA
13249.RPRC005015-PA	RPRC005015-PA
13249.RPRC005021-PA	RPRC005021-PA
13249.RPRC005070-PA	RPRC005070-PA
13249.RPRC005074-PA	RPRC005074-PA
13249.RPRC005191-PA	RPRC005191-PA
13249.RPRC005441-PA	RPRC005441-PA
13249.RPRC005443-PA	RPRC005443-PA
13249.RPRC005444-PA	RPRC005444-PA
13249.RPRC005550-PA	RPRC005550-PA
13249.RPRC005553-PA	RPRC005553-PA
13249.RPRC005748-PA	RPRC005748-PA
13249.RPRC005826-PA	RPRC005826-PA
13249.RPRC005972-PA	RPRC005972-PA
13249.RPRC006056-PA	RPRC006056-PA
13249.RPRC006225-PA	RPRC006225-PA
13249.RPRC006310-PA	RPRC006310-PA
13249.RPRC006547-PA	RPRC006547-PA
13249.RPRC006550-PA	RPRC006550-PA
13249.RPRC006752-PA	RPRC006752-PA
13249.RPRC007045-PA	RPRC007045-PA
13249.RPRC007067-PA	RPRC007067-PA
13249.RPRC007148-PA	RPRC007148-PA
13249.RPRC007344-PA	RPRC007344-PA
13249.RPRC007347-PA	RPRC007347-PA
13249.RPRC007433-PA	RPRC007433-PA
13249.RPRC007468-PA	RPRC007468-PA
13249.RPRC007546-PA	RPRC007546-PA
13249.RPRC007559-PA	RPRC007559-PA
13249.RPRC007611-PA	RPRC007611-PA
13249.RPRC007778-PA	RPRC007778-PA
13249.RPRC007907-PA	RPRC007907-PA
13249.RPRC008178-PA	RPRC008178-PA
13249.RPRC008234-PA	RPRC008234-PA
13249.RPRC008452-PA	RPRC008452-PA
13249.RPRC008483-PA	RPRC008483-PA
13249.RPRC008527-PA	RPRC008527-PA
13249.RPRC008535-PA	RPRC008535-PA
13249.RPRC008613-PA	RPRC008613-PA
13249.RPRC008698-PA	RPRC008698-PA
13249.RPRC008762-PA	RPRC008762-PA
13249.RPRC009288-PA	RPRC009288-PA
13249.RPRC009553-PA	RPRC009553-PA
13249.RPRC009715-PA	RPRC009715-PA
13249.RPRC009777-PA	RPRC009777-PA
13249.RPRC009816-PA	RPRC009816-PA
13249.RPRC009817-PA	RPRC009817-PA
13249.RPRC009934-PA	RPRC009934-PA
13249.RPRC010184-PA	RPRC010184-PA
13249.RPRC010227-PA	RPRC010227-PA
13249.RPRC010333-PA	RPRC010333-PA
13249.RPRC010552-PA	RPRC010552-PA
13249.RPRC010644-PA	RPRC010644-PA
13249.RPRC010807-PA	RPRC010807-PA
13249.RPRC010945-PA	RPRC010945-PA
13249.RPRC010987-PA	RPRC010987-PA
13249.RPRC011046-PA	RPRC011046-PA
13249.RPRC011059-PA	RPRC011059-PA
13249.RPRC011161-PA	RPRC011161-PA
13249.RPRC011182-PA	RPRC011182-PA
13249.RPRC011341-PA	RPRC011341-PA
13249.RPRC011483-PA	RPRC011483-PA
13249.RPRC011519-PA	RPRC011519-PA
13249.RPRC011744-PA	RPRC011744-PA
13249.RPRC011763-PA	RPRC011763-PA
13249.RPRC011858-PA	RPRC011858-PA
13249.RPRC011963-PA	RPRC011963-PA
13249.RPRC012174-PA	RPRC012174-PA
13249.RPRC012270-PA	RPRC012270-PA
13249.RPRC012271-PA	RPRC012271-PA
13249.RPRC012364-PA	RPRC012364-PA
13249.RPRC012733-PA	RPRC012733-PA
13249.RPRC012889-PA	RPRC012889-PA
13249.RPRC012950-PA	RPRC012950-PA
13249.RPRC013368-PA	RPRC013368-PA
13249.RPRC013461-PA	RPRC013461-PA
13249.RPRC013484-PA	RPRC013484-PA
13249.RPRC013771-PA	RPRC013771-PA
13249.RPRC013817-PA	RPRC013817-PA
13249.RPRC013874-PA	RPRC013874-PA
13249.RPRC013917-PA	RPRC013917-PA
13249.RPRC014329-PA	RPRC014329-PA
13249.RPRC014679-PA	RPRC014679-PA
13249.RPRC014739-PA	RPRC014739-PA
13249.RPRC015074-PA	RPRC015074-PA
13249.RPRC015232-PA	RPRC015232-PA
