inputGenes	preferredNames
13249.RPRC000574-PA	RPRC000574-PA
13249.RPRC002028-PA	RPRC002028-PA
13249.RPRC002217-PA	RPRC002217-PA
13249.RPRC002218-PA	RPRC002218-PA
13249.RPRC002940-PA	RPRC002940-PA
13249.RPRC003294-PA	RPRC003294-PA
13249.RPRC003924-PA	RPRC003924-PA
13249.RPRC003945-PA	RPRC003945-PA
13249.RPRC003961-PA	RPRC003961-PA
13249.RPRC004188-PA	RPRC004188-PA
13249.RPRC005074-PA	RPRC005074-PA
13249.RPRC005141-PA	RPRC005141-PA
13249.RPRC005514-PA	RPRC005514-PA
13249.RPRC005550-PA	RPRC005550-PA
13249.RPRC005553-PA	RPRC005553-PA
13249.RPRC005826-PA	RPRC005826-PA
13249.RPRC006017-PA	RPRC006017-PA
13249.RPRC006550-PA	RPRC006550-PA
13249.RPRC007611-PA	RPRC007611-PA
13249.RPRC007778-PA	RPRC007778-PA
13249.RPRC008234-PA	RPRC008234-PA
13249.RPRC008527-PA	RPRC008527-PA
13249.RPRC009181-PA	RPRC009181-PA
13249.RPRC009715-PA	RPRC009715-PA
13249.RPRC009816-PA	RPRC009816-PA
13249.RPRC009817-PA	RPRC009817-PA
13249.RPRC009854-PA	RPRC009854-PA
13249.RPRC009944-PA	RPRC009944-PA
13249.RPRC010227-PA	RPRC010227-PA
13249.RPRC010644-PA	RPRC010644-PA
13249.RPRC010918-PA	RPRC010918-PA
13249.RPRC010945-PA	RPRC010945-PA
13249.RPRC010987-PA	RPRC010987-PA
13249.RPRC011161-PA	RPRC011161-PA
13249.RPRC011744-PA	RPRC011744-PA
13249.RPRC011763-PA	RPRC011763-PA
13249.RPRC011959-PA	RPRC011959-PA
13249.RPRC011963-PA	RPRC011963-PA
13249.RPRC012174-PA	RPRC012174-PA
13249.RPRC012270-PA	RPRC012270-PA
13249.RPRC012475-PA	RPRC012475-PA
13249.RPRC012889-PA	RPRC012889-PA
13249.RPRC013368-PA	RPRC013368-PA
13249.RPRC013484-PA	RPRC013484-PA
13249.RPRC013817-PA	RPRC013817-PA
13249.RPRC013917-PA	RPRC013917-PA
13249.RPRC014550-PA	RPRC014550-PA
13249.RPRC014679-PA	RPRC014679-PA
13249.RPRC014739-PA	RPRC014739-PA
13249.RPRC014807-PA	RPRC014807-PA
13249.RPRC014947-PA	RPRC014947-PA
13249.RPRC015074-PA	RPRC015074-PA
