inputGenes	preferredNames
13249.RPRC000001-PA	RPRC000001-PA
13249.RPRC000005-PA	RPRC000005-PA
13249.RPRC000006-PA	RPRC000006-PA
13249.RPRC000035-PA	RPRC000035-PA
13249.RPRC000054-PA	RPRC000054-PA
13249.RPRC000085-PA	RPRC000085-PA
13249.RPRC000104-PA	RPRC000104-PA
13249.RPRC000121-PA	RPRC000121-PA
13249.RPRC000123-PA	RPRC000123-PA
13249.RPRC000142-PA	RPRC000142-PA
13249.RPRC000189-PA	RPRC000189-PA
13249.RPRC000207-PA	RPRC000207-PA
13249.RPRC000243-PA	RPRC000243-PA
13249.RPRC000246-PA	RPRC000246-PA
13249.RPRC000263-PA	RPRC000263-PA
13249.RPRC000271-PA	RPRC000271-PA
13249.RPRC000335-PA	RPRC000335-PA
13249.RPRC000365-PA	RPRC000365-PA
13249.RPRC000366-PA	RPRC000366-PA
13249.RPRC000391-PA	RPRC000391-PA
13249.RPRC000394-PA	RPRC000394-PA
13249.RPRC000415-PA	RPRC000415-PA
13249.RPRC000439-PA	ACSL1
13249.RPRC000445-PA	RPRC000445-PA
13249.RPRC000474-PA	RPRC000474-PA
13249.RPRC000509-PA	RPRC000509-PA
13249.RPRC000531-PA	RPRC000531-PA
13249.RPRC000545-PA	RPRC000545-PA
13249.RPRC000548-PA	RPRC000548-PA
13249.RPRC000552-PA	RPRC000552-PA
13249.RPRC000554-PA	RPRC000554-PA
13249.RPRC000574-PA	RPRC000574-PA
13249.RPRC000581-PA	RPRC000581-PA
13249.RPRC000595-PA	RPRC000595-PA
13249.RPRC000617-PA	RPRC000617-PA
13249.RPRC000641-PA	RPRC000641-PA
13249.RPRC000644-PA	RPRC000644-PA
13249.RPRC000649-PA	RPRC000649-PA
13249.RPRC000671-PA	RPRC000671-PA
13249.RPRC000678-PA	RPRC000678-PA
13249.RPRC000684-PA	RPRC000684-PA
13249.RPRC000688-PA	RPRC000688-PA
13249.RPRC000689-PA	RPRC000689-PA
13249.RPRC000694-PA	RPRC000694-PA
13249.RPRC000698-PA	RPRC000698-PA
13249.RPRC000700-PA	RPRC000700-PA
13249.RPRC000701-PA	RPRC000701-PA
13249.RPRC000710-PA	RPRC000710-PA
13249.RPRC000719-PA	RPRC000719-PA
13249.RPRC000725-PA	RPRC000725-PA
13249.RPRC000727-PA	RPRC000727-PA
13249.RPRC000732-PA	RPRC000732-PA
13249.RPRC000739-PA	RPRC000739-PA
13249.RPRC000741-PA	RPRC000741-PA
13249.RPRC000749-PA	RPRC000749-PA
13249.RPRC000757-PA	RPRC000757-PA
13249.RPRC000758-PA	RPRC000758-PA
13249.RPRC000761-PA	RPRC000761-PA
13249.RPRC000780-PA	RPRC000780-PA
13249.RPRC000784-PA	RPRC000784-PA
13249.RPRC000805-PA	RPRC000805-PA
13249.RPRC000810-PA	RPRC000810-PA
