inputGenes	preferredNames
13249.RPRC000033-PA	RPRC000033-PA
13249.RPRC000057-PA	RPRC000057-PA
13249.RPRC000516-PA	RPRC000516-PA
13249.RPRC000523-PA	RPRC000523-PA
13249.RPRC000578-PA	RPRC000578-PA
13249.RPRC000605-PA	RPRC000605-PA
13249.RPRC000651-PA	RPRC000651-PA
13249.RPRC000835-PA	RPRC000835-PA
13249.RPRC000841-PA	RPRC000841-PA
13249.RPRC000848-PA	RPRC000848-PA
13249.RPRC000890-PA	RPRC000890-PA
13249.RPRC000901-PA	RPRC000901-PA
13249.RPRC000913-PA	RPRC000913-PA
13249.RPRC000996-PA	RPRC000996-PA
13249.RPRC001000-PA	RPRC001000-PA
13249.RPRC001029-PA	RPRC001029-PA
13249.RPRC001054-PA	RPRC001054-PA
13249.RPRC001240-PA	RPRC001240-PA
13249.RPRC001341-PA	RPRC001341-PA
13249.RPRC001394-PA	RPRC001394-PA
13249.RPRC001507-PA	RPRC001507-PA
13249.RPRC001540-PA	RPRC001540-PA
13249.RPRC001551-PA	RPRC001551-PA
13249.RPRC001687-PA	RPRC001687-PA
13249.RPRC001750-PA	RPRC001750-PA
13249.RPRC001792-PA	RPRC001792-PA
13249.RPRC001892-PA	RPRC001892-PA
13249.RPRC002040-PA	RPRC002040-PA
13249.RPRC002268-PA	RPRC002268-PA
13249.RPRC002269-PA	RPRC002269-PA
13249.RPRC002843-PA	RPRC002843-PA
13249.RPRC003095-PA	RPRC003095-PA
13249.RPRC003155-PA	RPRC003155-PA
13249.RPRC003160-PA	RPRC003160-PA
13249.RPRC003273-PA	RPRC003273-PA
13249.RPRC003330-PA	RPRC003330-PA
13249.RPRC003609-PA	RPRC003609-PA
13249.RPRC003839-PA	RPRC003839-PA
13249.RPRC004128-PA	RPRC004128-PA
13249.RPRC004248-PA	RPRC004248-PA
13249.RPRC004659-PA	RPRC004659-PA
13249.RPRC004706-PA	RPRC004706-PA
13249.RPRC004708-PA	RPRC004708-PA
13249.RPRC004753-PA	RPRC004753-PA
13249.RPRC004783-PA	RPRC004783-PA
13249.RPRC004793-PA	RPRC004793-PA
13249.RPRC005110-PA	RPRC005110-PA
13249.RPRC005349-PA	RPRC005349-PA
13249.RPRC005694-PA	RPRC005694-PA
13249.RPRC005759-PA	RPRC005759-PA
13249.RPRC006842-PA	RPRC006842-PA
13249.RPRC006928-PA	RPRC006928-PA
13249.RPRC007243-PA	RPRC007243-PA
13249.RPRC007418-PA	RPRC007418-PA
13249.RPRC007566-PA	RPRC007566-PA
13249.RPRC007766-PA	RPRC007766-PA
13249.RPRC007771-PA	RPRC007771-PA
13249.RPRC007788-PA	RPRC007788-PA
13249.RPRC008022-PA	RPRC008022-PA
13249.RPRC008894-PA	RPRC008894-PA
13249.RPRC008923-PA	RPRC008923-PA
13249.RPRC009134-PA	RPRC009134-PA
13249.RPRC009158-PA	RPRC009158-PA
13249.RPRC009175-PA	RPRC009175-PA
13249.RPRC009335-PA	RPRC009335-PA
13249.RPRC009383-PA	RPRC009383-PA
13249.RPRC009466-PA	RPRC009466-PA
13249.RPRC009729-PA	RPRC009729-PA
13249.RPRC009814-PA	RPRC009814-PA
13249.RPRC010197-PA	RPRC010197-PA
13249.RPRC010243-PA	RPRC010243-PA
13249.RPRC010532-PA	RPRC010532-PA
13249.RPRC010656-PA	RPRC010656-PA
13249.RPRC010768-PA	RPRC010768-PA
13249.RPRC010907-PA	RPRC010907-PA
13249.RPRC010931-PA	RPRC010931-PA
13249.RPRC011175-PA	RPRC011175-PA
13249.RPRC011267-PA	RPRC011267-PA
13249.RPRC011545-PA	RPRC011545-PA
13249.RPRC012208-PA	RPRC012208-PA
13249.RPRC012410-PA	RPRC012410-PA
13249.RPRC012458-PA	RPRC012458-PA
13249.RPRC012816-PA	RPRC012816-PA
13249.RPRC012916-PA	RPRC012916-PA
13249.RPRC013085-PA	RPRC013085-PA
13249.RPRC013257-PA	RPRC013257-PA
13249.RPRC013486-PA	RPRC013486-PA
13249.RPRC013717-PA	RPRC013717-PA
13249.RPRC013842-PA	RPRC013842-PA
13249.RPRC014155-PA	RPRC014155-PA
13249.RPRC014262-PA	RPRC014262-PA
13249.RPRC014294-PA	RPRC014294-PA
13249.RPRC014325-PA	RPRC014325-PA
13249.RPRC014414-PA	RPRC014414-PA
13249.RPRC014721-PA	RPRC014721-PA
13249.RPRC014822-PA	RPRC014822-PA
13249.RPRC014971-PA	RPRC014971-PA
13249.RPRC015267-PA	RPRC015267-PA
13249.RPRC015456-PA	RPRC015456-PA
