inputGenes	preferredNames
13249.RPRC000054-PA	RPRC000054-PA
13249.RPRC000780-PA	RPRC000780-PA
13249.RPRC001151-PA	RPRC001151-PA
13249.RPRC001198-PA	RPRC001198-PA
13249.RPRC001199-PA	RPRC001199-PA
13249.RPRC001364-PA	RPRC001364-PA
13249.RPRC001392-PA	RPRC001392-PA
13249.RPRC001467-PA	RPRC001467-PA
13249.RPRC001704-PA	RPRC001704-PA
13249.RPRC002285-PA	RPRC002285-PA
13249.RPRC002403-PA	RPRC002403-PA
13249.RPRC002473-PA	RPRC002473-PA
13249.RPRC002489-PA	RPRC002489-PA
13249.RPRC002545-PA	RPRC002545-PA
13249.RPRC002614-PA	RPRC002614-PA
13249.RPRC002637-PA	RPRC002637-PA
13249.RPRC002932-PA	RPRC002932-PA
13249.RPRC002938-PA	RPRC002938-PA
13249.RPRC003350-PA	RPRC003350-PA
13249.RPRC003568-PA	RPRC003568-PA
13249.RPRC003660-PA	RPRC003660-PA
13249.RPRC003685-PA	RPRC003685-PA
13249.RPRC003690-PA	RPRC003690-PA
13249.RPRC003694-PA	RPRC003694-PA
13249.RPRC003905-PA	RPRC003905-PA
13249.RPRC004470-PA	RPRC004470-PA
13249.RPRC004620-PA	RPRC004620-PA
13249.RPRC004840-PA	RPRC004840-PA
13249.RPRC005092-PA	RPRC005092-PA
13249.RPRC005338-PA	RPRC005338-PA
13249.RPRC005493-PA	RPRC005493-PA
13249.RPRC005494-PA	RPRC005494-PA
13249.RPRC005700-PA	RPRC005700-PA
13249.RPRC005845-PA	RPRC005845-PA
13249.RPRC005881-PA	RPRC005881-PA
13249.RPRC005917-PA	RPRC005917-PA
13249.RPRC005959-PA	RPRC005959-PA
13249.RPRC006091-PA	RPRC006091-PA
13249.RPRC006108-PA	RPRC006108-PA
13249.RPRC006213-PA	RPRC006213-PA
13249.RPRC006543-PA	RPRC006543-PA
13249.RPRC006787-PA	RPRC006787-PA
13249.RPRC006976-PA	RPRC006976-PA
13249.RPRC007118-PA	RPRC007118-PA
13249.RPRC007186-PA	RPRC007186-PA
13249.RPRC007341-PA	RPRC007341-PA
13249.RPRC007410-PA	RPRC007410-PA
13249.RPRC007426-PA	RPRC007426-PA
13249.RPRC007507-PA	RPRC007507-PA
13249.RPRC007590-PA	RPRC007590-PA
13249.RPRC007686-PA	RPRC007686-PA
13249.RPRC007811-PA	RPRC007811-PA
13249.RPRC007824-PA	RPRC007824-PA
13249.RPRC007995-PA	RPRC007995-PA
13249.RPRC008129-PA	RPRC008129-PA
13249.RPRC008169-PA	RPRC008169-PA
13249.RPRC008312-PA	RPRC008312-PA
13249.RPRC008403-PA	RPRC008403-PA
13249.RPRC008498-PA	RPRC008498-PA
13249.RPRC008562-PA	RPRC008562-PA
13249.RPRC008584-PA	RPRC008584-PA
13249.RPRC008653-PA	RPRC008653-PA
13249.RPRC008655-PA	RPRC008655-PA
13249.RPRC008675-PA	RPRC008675-PA
13249.RPRC008833-PA	RPRC008833-PA
13249.RPRC008997-PA	RPRC008997-PA
13249.RPRC009107-PA	RPRC009107-PA
13249.RPRC009396-PA	RPRC009396-PA
13249.RPRC009398-PA	RPRC009398-PA
13249.RPRC009520-PA	RPRC009520-PA
13249.RPRC009632-PA	RPRC009632-PA
13249.RPRC009703-PA	RPRC009703-PA
13249.RPRC010072-PA	RPRC010072-PA
13249.RPRC010093-PA	RPRC010093-PA
13249.RPRC010550-PA	RPRC010550-PA
13249.RPRC010674-PA	RPRC010674-PA
13249.RPRC010962-PA	RPRC010962-PA
13249.RPRC011317-PA	RPRC011317-PA
13249.RPRC011318-PA	RPRC011318-PA
13249.RPRC011476-PA	RPRC011476-PA
13249.RPRC011519-PA	RPRC011519-PA
13249.RPRC011522-PA	RPRC011522-PA
13249.RPRC011562-PA	RPRC011562-PA
13249.RPRC011582-PA	RPRC011582-PA
13249.RPRC011931-PA	RPRC011931-PA
13249.RPRC011969-PA	RPRC011969-PA
13249.RPRC012256-PA	RPRC012256-PA
13249.RPRC012369-PA	RPRC012369-PA
13249.RPRC012493-PA	RPRC012493-PA
13249.RPRC012548-PA	RPRC012548-PA
13249.RPRC012655-PA	RPRC012655-PA
13249.RPRC013104-PA	RPRC013104-PA
13249.RPRC013106-PA	RPRC013106-PA
13249.RPRC013159-PA	RPRC013159-PA
13249.RPRC013180-PA	RPRC013180-PA
13249.RPRC013241-PA	RPRC013241-PA
13249.RPRC013336-PA	RPRC013336-PA
13249.RPRC013687-PA	RPRC013687-PA
13249.RPRC013689-PA	RPRC013689-PA
13249.RPRC013834-PA	RPRC013834-PA
13249.RPRC014029-PA	RPRC014029-PA
13249.RPRC014139-PA	RPRC014139-PA
13249.RPRC014245-PA	RPRC014245-PA
13249.RPRC014686-PA	RPRC014686-PA
13249.RPRC014986-PA	RPRC014986-PA
13249.RPRC015179-PA	RPRC015179-PA
13249.RPRC015280-PA	RPRC015280-PA
13249.RPRC015291-PA	RPRC015291-PA
