inputGenes	preferredNames
13249.RPRC000101-PA	RPRC000101-PA
13249.RPRC000103-PA	RPRC000103-PA
13249.RPRC000272-PA	RPRC000272-PA
13249.RPRC000566-PA	RPRC000566-PA
13249.RPRC000747-PA	RPRC000747-PA
13249.RPRC001067-PA	RPRC001067-PA
13249.RPRC001082-PA	RPRC001082-PA
13249.RPRC001084-PA	RPRC001084-PA
13249.RPRC001119-PA	RPRC001119-PA
13249.RPRC001295-PA	RPRC001295-PA
13249.RPRC001421-PA	RPRC001421-PA
13249.RPRC001944-PA	RPRC001944-PA
13249.RPRC002179-PA	RPRC002179-PA
13249.RPRC002383-PA	RPRC002383-PA
13249.RPRC002402-PA	RPRC002402-PA
13249.RPRC002449-PA	RPRC002449-PA
13249.RPRC002459-PA	RPRC002459-PA
13249.RPRC002463-PA	RPRC002463-PA
13249.RPRC002483-PA	RPRC002483-PA
13249.RPRC002610-PA	RPRC002610-PA
13249.RPRC002631-PA	RPRC002631-PA
13249.RPRC002671-PA	RPRC002671-PA
13249.RPRC002729-PA	RPRC002729-PA
13249.RPRC002931-PA	RPRC002931-PA
13249.RPRC003175-PA	RPRC003175-PA
13249.RPRC003316-PA	RPRC003316-PA
13249.RPRC003348-PA	RPRC003348-PA
13249.RPRC003426-PA	RPRC003426-PA
13249.RPRC003429-PA	RPRC003429-PA
13249.RPRC003528-PA	RPRC003528-PA
13249.RPRC003573-PA	RPRC003573-PA
13249.RPRC003650-PA	RPRC003650-PA
13249.RPRC003899-PA	RPRC003899-PA
13249.RPRC004038-PA	RPRC004038-PA
13249.RPRC004113-PA	RPRC004113-PA
13249.RPRC004119-PA	RPRC004119-PA
13249.RPRC004515-PA	RPRC004515-PA
13249.RPRC004714-PA	RPRC004714-PA
13249.RPRC004775-PA	RPRC004775-PA
13249.RPRC004915-PA	RPRC004915-PA
13249.RPRC005068-PA	RPRC005068-PA
13249.RPRC005069-PA	RPRC005069-PA
13249.RPRC005114-PA	RPRC005114-PA
13249.RPRC005153-PA	RPRC005153-PA
13249.RPRC005312-PA	RPRC005312-PA
13249.RPRC005317-PA	RPRC005317-PA
13249.RPRC005693-PA	RPRC005693-PA
13249.RPRC005721-PA	RPRC005721-PA
13249.RPRC005732-PA	RPRC005732-PA
13249.RPRC005778-PA	RPRC005778-PA
13249.RPRC005868-PA	RPRC005868-PA
13249.RPRC005869-PA	RPRC005869-PA
13249.RPRC005945-PA	RPRC005945-PA
13249.RPRC006050-PA	RPRC006050-PA
13249.RPRC006058-PA	RPRC006058-PA
13249.RPRC006059-PA	RPRC006059-PA
13249.RPRC006063-PA	RPRC006063-PA
13249.RPRC006283-PA	RPRC006283-PA
13249.RPRC006365-PA	RPRC006365-PA
13249.RPRC006395-PA	RPRC006395-PA
13249.RPRC006414-PA	RPRC006414-PA
13249.RPRC006517-PA	RPRC006517-PA
13249.RPRC006935-PA	RPRC006935-PA
13249.RPRC006996-PA	RPRC006996-PA
13249.RPRC007198-PA	RPRC007198-PA
13249.RPRC007265-PA	RPRC007265-PA
13249.RPRC007591-PA	RPRC007591-PA
13249.RPRC007818-PA	RPRC007818-PA
13249.RPRC007848-PA	RPRC007848-PA
13249.RPRC008037-PA	RPRC008037-PA
13249.RPRC008063-PA	RPRC008063-PA
13249.RPRC008173-PA	RPRC008173-PA
13249.RPRC008331-PA	RPRC008331-PA
13249.RPRC008347-PA	RPRC008347-PA
13249.RPRC008468-PA	RPRC008468-PA
13249.RPRC008500-PA	RPRC008500-PA
13249.RPRC008502-PA	RPRC008502-PA
13249.RPRC008523-PA	RPRC008523-PA
13249.RPRC008787-PA	RPRC008787-PA
13249.RPRC008823-PA	RPRC008823-PA
13249.RPRC008947-PA	RPRC008947-PA
13249.RPRC009073-PA	RPRC009073-PA
13249.RPRC009099-PA	RPRC009099-PA
13249.RPRC009159-PA	RPRC009159-PA
13249.RPRC009276-PA	RPRC009276-PA
13249.RPRC009389-PA	RPRC009389-PA
13249.RPRC009477-PA	RPRC009477-PA
13249.RPRC009750-PA	RPRC009750-PA
13249.RPRC009869-PA	RPRC009869-PA
13249.RPRC010028-PA	RPRC010028-PA
13249.RPRC010075-PA	RPRC010075-PA
13249.RPRC010139-PA	RPRC010139-PA
13249.RPRC010149-PA	RPRC010149-PA
13249.RPRC010216-PA	RPRC010216-PA
13249.RPRC010252-PA	RPRC010252-PA
13249.RPRC010320-PA	RPRC010320-PA
13249.RPRC010360-PA	RPRC010360-PA
13249.RPRC010381-PA	RPRC010381-PA
13249.RPRC010401-PA	RPRC010401-PA
13249.RPRC010499-PA	RPRC010499-PA
13249.RPRC010525-PA	RPRC010525-PA
13249.RPRC010612-PA	RPRC010612-PA
13249.RPRC010732-PA	RPRC010732-PA
13249.RPRC010752-PA	RPRC010752-PA
13249.RPRC010922-PA	RPRC010922-PA
13249.RPRC010977-PA	RPRC010977-PA
13249.RPRC011120-PA	RPRC011120-PA
13249.RPRC011345-PA	RPRC011345-PA
13249.RPRC011474-PA	RPRC011474-PA
13249.RPRC011567-PA	RPRC011567-PA
13249.RPRC011620-PA	RPRC011620-PA
13249.RPRC011740-PA	RPRC011740-PA
13249.RPRC011783-PA	RPRC011783-PA
13249.RPRC011803-PA	RPRC011803-PA
13249.RPRC011948-PA	RPRC011948-PA
13249.RPRC012157-PA	RPRC012157-PA
13249.RPRC012161-PA	RPRC012161-PA
13249.RPRC012411-PA	RPRC012411-PA
13249.RPRC012656-PA	RPRC012656-PA
13249.RPRC012803-PA	RPRC012803-PA
13249.RPRC012882-PA	RPRC012882-PA
13249.RPRC013126-PA	RPRC013126-PA
13249.RPRC013197-PA	RPRC013197-PA
13249.RPRC013236-PA	RPRC013236-PA
13249.RPRC013331-PA	RPRC013331-PA
13249.RPRC013353-PA	RPRC013353-PA
13249.RPRC013355-PA	RPRC013355-PA
13249.RPRC013356-PA	RPRC013356-PA
13249.RPRC013370-PA	RPRC013370-PA
13249.RPRC013605-PA	RPRC013605-PA
13249.RPRC013606-PA	RPRC013606-PA
13249.RPRC013996-PA	RPRC013996-PA
13249.RPRC014021-PA	RPRC014021-PA
13249.RPRC014146-PA	RPRC014146-PA
13249.RPRC014193-PA	RPRC014193-PA
13249.RPRC014311-PA	RPRC014311-PA
13249.RPRC014322-PA	RPRC014322-PA
13249.RPRC014415-PA	RPRC014415-PA
13249.RPRC014604-PA	RPRC014604-PA
13249.RPRC014616-PA	RPRC014616-PA
13249.RPRC014649-PA	RPRC014649-PA
13249.RPRC014677-PA	RPRC014677-PA
13249.RPRC014776-PA	RPRC014776-PA
13249.RPRC014813-PA	RPRC014813-PA
13249.RPRC014887-PA	RPRC014887-PA
13249.RPRC014898-PA	RPRC014898-PA
13249.RPRC014940-PA	RPRC014940-PA
13249.RPRC014949-PA	RPRC014949-PA
13249.RPRC015040-PA	RPRC015040-PA
13249.RPRC015069-PA	RPRC015069-PA
13249.RPRC015172-PA	RPRC015172-PA
13249.RPRC015257-PA	RPRC015257-PA
13249.RPRC015293-PA	RPRC015293-PA
13249.RPRC015330-PA	RPRC015330-PA
13249.RPRC015438-PA	RPRC015438-PA
