inputGenes	preferredNames
13249.RPRC000566-PA	RPRC000566-PA
13249.RPRC000781-PA	RPRC000781-PA
13249.RPRC001033-PA	RPRC001033-PA
13249.RPRC001074-PA	RPRC001074-PA
13249.RPRC001101-PA	RPRC001101-PA
13249.RPRC001247-PA	RPRC001247-PA
13249.RPRC001280-PA	RPRC001280-PA
13249.RPRC001444-PA	RPRC001444-PA
13249.RPRC001448-PA	RPRC001448-PA
13249.RPRC001819-PA	RPRC001819-PA
13249.RPRC002208-PA	RPRC002208-PA
13249.RPRC002383-PA	RPRC002383-PA
13249.RPRC002599-PA	RPRC002599-PA
13249.RPRC002700-PA	RPRC002700-PA
13249.RPRC002764-PA	RPRC002764-PA
13249.RPRC002944-PA	RPRC002944-PA
13249.RPRC003077-PA	RPRC003077-PA
13249.RPRC003224-PA	RPRC003224-PA
13249.RPRC003242-PA	RPRC003242-PA
13249.RPRC003376-PA	RPRC003376-PA
13249.RPRC003470-PA	RPRC003470-PA
13249.RPRC003600-PA	RPRC003600-PA
13249.RPRC003753-PA	RPRC003753-PA
13249.RPRC003757-PA	RPRC003757-PA
13249.RPRC003910-PA	RPRC003910-PA
13249.RPRC003956-PA	RPRC003956-PA
13249.RPRC004425-PA	RPRC004425-PA
13249.RPRC004575-PA	RPRC004575-PA
13249.RPRC004632-PA	RPRC004632-PA
13249.RPRC004661-PA	RPRC004661-PA
13249.RPRC004668-PA	RPRC004668-PA
13249.RPRC004846-PA	RPRC004846-PA
13249.RPRC004880-PA	RPRC004880-PA
13249.RPRC004935-PA	RPRC004935-PA
13249.RPRC005014-PA	RPRC005014-PA
13249.RPRC005193-PA	RPRC005193-PA
13249.RPRC005276-PA	RPRC005276-PA
13249.RPRC005543-PA	RPRC005543-PA
13249.RPRC005559-PA	RPRC005559-PA
13249.RPRC005693-PA	RPRC005693-PA
13249.RPRC005809-PA	RPRC005809-PA
13249.RPRC005850-PA	RPRC005850-PA
13249.RPRC005922-PA	RPRC005922-PA
13249.RPRC005923-PA	RPRC005923-PA
13249.RPRC006087-PA	RPRC006087-PA
13249.RPRC006102-PA	RPRC006102-PA
13249.RPRC006315-PA	RPRC006315-PA
13249.RPRC006631-PA	RPRC006631-PA
13249.RPRC006654-PA	RPRC006654-PA
13249.RPRC006840-PA	RPRC006840-PA
13249.RPRC006843-PA	RPRC006843-PA
13249.RPRC006902-PA	RPRC006902-PA
13249.RPRC006903-PA	RPRC006903-PA
13249.RPRC006996-PA	RPRC006996-PA
13249.RPRC007126-PA	RPRC007126-PA
13249.RPRC007376-PA	RPRC007376-PA
13249.RPRC007412-PA	RPRC007412-PA
13249.RPRC007462-PA	RPRC007462-PA
13249.RPRC007607-PA	RPRC007607-PA
13249.RPRC007652-PA	RPRC007652-PA
13249.RPRC008135-PA	RPRC008135-PA
13249.RPRC008172-PA	RPRC008172-PA
13249.RPRC008328-PA	RPRC008328-PA
13249.RPRC008669-PA	RPRC008669-PA
13249.RPRC009156-PA	RPRC009156-PA
13249.RPRC009197-PA	RPRC009197-PA
13249.RPRC009300-PA	RPRC009300-PA
13249.RPRC009354-PA	RPRC009354-PA
13249.RPRC009783-PA	RPRC009783-PA
13249.RPRC009841-PA	RPRC009841-PA
13249.RPRC009845-PA	RPRC009845-PA
13249.RPRC009926-PA	RPRC009926-PA
13249.RPRC009952-PA	RPRC009952-PA
13249.RPRC010290-PA	RPRC010290-PA
13249.RPRC010382-PA	RPRC010382-PA
13249.RPRC010634-PA	RPRC010634-PA
13249.RPRC010787-PA	RPRC010787-PA
13249.RPRC010816-PA	RPRC010816-PA
13249.RPRC010985-PA	RPRC010985-PA
13249.RPRC011075-PA	RPRC011075-PA
13249.RPRC011366-PA	RPRC011366-PA
13249.RPRC011469-PA	RPRC011469-PA
13249.RPRC011933-PA	RPRC011933-PA
13249.RPRC011964-PA	RPRC011964-PA
13249.RPRC011968-PA	RPRC011968-PA
13249.RPRC012555-PA	RPRC012555-PA
13249.RPRC012870-PA	RPRC012870-PA
13249.RPRC012887-PA	RPRC012887-PA
13249.RPRC013057-PA	RPRC013057-PA
13249.RPRC013208-PA	RPRC013208-PA
13249.RPRC013373-PA	RPRC013373-PA
13249.RPRC013432-PA	RPRC013432-PA
13249.RPRC013861-PA	RPRC013861-PA
13249.RPRC013955-PA	RPRC013955-PA
13249.RPRC014051-PA	RPRC014051-PA
13249.RPRC014073-PA	RPRC014073-PA
13249.RPRC014087-PA	RPRC014087-PA
13249.RPRC014088-PA	RPRC014088-PA
13249.RPRC014129-PA	RPRC014129-PA
13249.RPRC014333-PA	RPRC014333-PA
13249.RPRC014367-PA	RPRC014367-PA
13249.RPRC014373-PA	RPRC014373-PA
13249.RPRC014510-PA	RPRC014510-PA
13249.RPRC014652-PA	RPRC014652-PA
13249.RPRC014723-PA	RPRC014723-PA
13249.RPRC014786-PA	RPRC014786-PA
13249.RPRC014883-PA	RPRC014883-PA
13249.RPRC014905-PA	RPRC014905-PA
13249.RPRC015041-PA	RPRC015041-PA
13249.RPRC015080-PA	RPRC015080-PA
13249.RPRC015230-PA	RPRC015230-PA
13249.RPRC015292-PA	RPRC015292-PA
13249.RPRC015344-PA	RPRC015344-PA
13249.RPRC015353-PA	RPRC015353-PA
13249.RPRC015370-PA	RPRC015370-PA
13249.RPRC015446-PA	RPRC015446-PA
13249.RPRC015466-PA	RPRC015466-PA
