inputGenes	preferredNames
13249.RPRC001016-PA	RPRC001016-PA
13249.RPRC001043-PA	RPRC001043-PA
13249.RPRC001247-PA	RPRC001247-PA
13249.RPRC001290-PA	RPRC001290-PA
13249.RPRC001725-PA	RPRC001725-PA
13249.RPRC001833-PA	RPRC001833-PA
13249.RPRC002179-PA	RPRC002179-PA
13249.RPRC002208-PA	RPRC002208-PA
13249.RPRC002209-PA	RPRC002209-PA
13249.RPRC002404-PA	RPRC002404-PA
13249.RPRC002687-PA	RPRC002687-PA
13249.RPRC002774-PA	RPRC002774-PA
13249.RPRC002857-PA	RPRC002857-PA
13249.RPRC002999-PA	RPRC002999-PA
13249.RPRC003023-PA	RPRC003023-PA
13249.RPRC003127-PA	RPRC003127-PA
13249.RPRC003242-PA	RPRC003242-PA
13249.RPRC003455-PA	RPRC003455-PA
13249.RPRC003468-PA	RPRC003468-PA
13249.RPRC003664-PA	RPRC003664-PA
13249.RPRC003922-PA	RPRC003922-PA
13249.RPRC004064-PA	RPRC004064-PA
13249.RPRC004065-PA	RPRC004065-PA
13249.RPRC004202-PA	RPRC004202-PA
13249.RPRC004270-PA	RPRC004270-PA
13249.RPRC004273-PA	RPRC004273-PA
13249.RPRC004737-PA	RPRC004737-PA
13249.RPRC004767-PA	RPRC004767-PA
13249.RPRC004772-PA	RPRC004772-PA
13249.RPRC004791-PA	RPRC004791-PA
13249.RPRC005125-PA	RPRC005125-PA
13249.RPRC005187-PA	RPRC005187-PA
13249.RPRC005559-PA	RPRC005559-PA
13249.RPRC005630-PA	RPRC005630-PA
13249.RPRC005809-PA	RPRC005809-PA
13249.RPRC005923-PA	RPRC005923-PA
13249.RPRC005966-PA	RPRC005966-PA
13249.RPRC005991-PA	RPRC005991-PA
13249.RPRC006072-PA	RPRC006072-PA
13249.RPRC006087-PA	RPRC006087-PA
13249.RPRC006088-PA	RPRC006088-PA
13249.RPRC006107-PA	RPRC006107-PA
13249.RPRC006350-PA	RPRC006350-PA
13249.RPRC006359-PA	RPRC006359-PA
13249.RPRC006365-PA	RPRC006365-PA
13249.RPRC006397-PA	RPRC006397-PA
13249.RPRC006562-PA	RPRC006562-PA
13249.RPRC006708-PA	RPRC006708-PA
13249.RPRC006843-PA	RPRC006843-PA
13249.RPRC006902-PA	RPRC006902-PA
13249.RPRC006973-PA	RPRC006973-PA
13249.RPRC006998-PA	RPRC006998-PA
13249.RPRC007030-PA	RPRC007030-PA
13249.RPRC007039-PA	RPRC007039-PA
13249.RPRC007076-PA	RPRC007076-PA
13249.RPRC007406-PA	RPRC007406-PA
13249.RPRC007439-PA	RPRC007439-PA
13249.RPRC007525-PA	RPRC007525-PA
13249.RPRC007768-PA	RPRC007768-PA
13249.RPRC007862-PA	RPRC007862-PA
13249.RPRC007873-PA	RPRC007873-PA
13249.RPRC007893-PA	RPRC007893-PA
13249.RPRC007902-PA	RPRC007902-PA
13249.RPRC008247-PA	LSM5
13249.RPRC008278-PA	RPRC008278-PA
13249.RPRC008302-PA	RPRC008302-PA
13249.RPRC008442-PA	RPRC008442-PA
13249.RPRC008897-PA	RPRC008897-PA
13249.RPRC009003-PA	RPRC009003-PA
13249.RPRC009182-PA	RPRC009182-PA
13249.RPRC009184-PA	RPRC009184-PA
13249.RPRC009192-PA	RPRC009192-PA
13249.RPRC009290-PA	RPRC009290-PA
13249.RPRC009308-PA	RPRC009308-PA
13249.RPRC009391-PA	RPRC009391-PA
13249.RPRC009426-PA	RPRC009426-PA
13249.RPRC009575-PA	RPRC009575-PA
13249.RPRC009758-PA	RPRC009758-PA
13249.RPRC009841-PA	RPRC009841-PA
13249.RPRC010180-PA	RPRC010180-PA
13249.RPRC010199-PA	RPRC010199-PA
13249.RPRC010293-PA	RPRC010293-PA
13249.RPRC010345-PA	RPRC010345-PA
13249.RPRC010346-PA	RPRC010346-PA
13249.RPRC010500-PA	RPRC010500-PA
13249.RPRC010553-PA	RPRC010553-PA
13249.RPRC010583-PA	RPRC010583-PA
13249.RPRC010828-PA	RPRC010828-PA
13249.RPRC010937-PA	RPRC010937-PA
13249.RPRC010943-PA	RPRC010943-PA
13249.RPRC010985-PA	RPRC010985-PA
13249.RPRC011123-PA	RPRC011123-PA
13249.RPRC011127-PA	RPRC011127-PA
13249.RPRC011376-PA	RPRC011376-PA
13249.RPRC011510-PA	RPRC011510-PA
13249.RPRC011657-PA	RPRC011657-PA
13249.RPRC011766-PA	LSM3
13249.RPRC011831-PA	RPRC011831-PA
13249.RPRC011872-PA	RPRC011872-PA
13249.RPRC011964-PA	RPRC011964-PA
13249.RPRC011968-PA	RPRC011968-PA
13249.RPRC011970-PA	LSM4
13249.RPRC011990-PA	LSM8
13249.RPRC012007-PA	RPRC012007-PA
13249.RPRC012181-PA	RPRC012181-PA
13249.RPRC012318-PA	RPRC012318-PA
13249.RPRC012351-PA	RPRC012351-PA
13249.RPRC012397-PA	RPRC012397-PA
13249.RPRC012517-PA	RPRC012517-PA
13249.RPRC012607-PA	RPRC012607-PA
13249.RPRC012792-PA	RPRC012792-PA
13249.RPRC012895-PA	RPRC012895-PA
13249.RPRC012924-PA	RPRC012924-PA
13249.RPRC012979-PA	RPRC012979-PA
13249.RPRC013030-PA	RPRC013030-PA
13249.RPRC013345-PA	RPRC013345-PA
13249.RPRC013491-PA	RPRC013491-PA
13249.RPRC013512-PA	RPRC013512-PA
13249.RPRC013900-PA	RPRC013900-PA
13249.RPRC013921-PA	RPRC013921-PA
13249.RPRC013967-PA	RPRC013967-PA
13249.RPRC014126-PA	RPRC014126-PA
13249.RPRC014343-PA	RPRC014343-PA
13249.RPRC014585-PA	RPRC014585-PA
13249.RPRC014823-PA	RPRC014823-PA
13249.RPRC014833-PA	RPRC014833-PA
13249.RPRC014878-PA	RPRC014878-PA
13249.RPRC015080-PA	RPRC015080-PA
13249.RPRC015386-PA	RPRC015386-PA
