inputGenes	preferredNames
13249.RPRC000909-PA	RPRC000909-PA
13249.RPRC000949-PA	RPRC000949-PA
13249.RPRC001177-PA	RPRC001177-PA
13249.RPRC001339-PA	RPRC001339-PA
13249.RPRC001809-PA	RPRC001809-PA
13249.RPRC001870-PA	RPRC001870-PA
13249.RPRC002032-PA	RPRC002032-PA
13249.RPRC002235-PA	RPRC002235-PA
13249.RPRC002389-PA	RPRC002389-PA
13249.RPRC002465-PA	RPRC002465-PA
13249.RPRC002902-PA	RPRC002902-PA
13249.RPRC002931-PA	RPRC002931-PA
13249.RPRC003072-PA	RPRC003072-PA
13249.RPRC003140-PA	RPRC003140-PA
13249.RPRC003142-PA	RPRC003142-PA
13249.RPRC003143-PA	RPRC003143-PA
13249.RPRC003175-PA	RPRC003175-PA
13249.RPRC003334-PA	RPRC003334-PA
13249.RPRC003383-PA	RPRC003383-PA
13249.RPRC003429-PA	RPRC003429-PA
13249.RPRC003922-PA	RPRC003922-PA
13249.RPRC003935-PA	RPRC003935-PA
13249.RPRC004068-PA	RPRC004068-PA
13249.RPRC004523-PA	RPRC004523-PA
13249.RPRC004887-PA	RPRC004887-PA
13249.RPRC005093-PA	RPRC005093-PA
13249.RPRC005317-PA	RPRC005317-PA
13249.RPRC005335-PA	RPRC005335-PA
13249.RPRC005378-PA	RPRC005378-PA
13249.RPRC005408-PA	RPRC005408-PA
13249.RPRC005411-PA	RPRC005411-PA
13249.RPRC005473-PA	RPRC005473-PA
13249.RPRC005524-PA	RPRC005524-PA
13249.RPRC005541-PA	RPRC005541-PA
13249.RPRC005611-PA	RPRC005611-PA
13249.RPRC005682-PA	RPRC005682-PA
13249.RPRC005695-PA	RPRC005695-PA
13249.RPRC005812-PA	RPRC005812-PA
13249.RPRC005918-PA	RPRC005918-PA
13249.RPRC005970-PA	RPRC005970-PA
13249.RPRC005983-PA	RPRC005983-PA
13249.RPRC006084-PA	RPRC006084-PA
13249.RPRC006264-PA	RPRC006264-PA
13249.RPRC006280-PA	RPRC006280-PA
13249.RPRC006315-PA	RPRC006315-PA
13249.RPRC006333-PA	RPRC006333-PA
13249.RPRC006426-PA	RPRC006426-PA
13249.RPRC006573-PA	RPRC006573-PA
13249.RPRC006736-PA	RPRC006736-PA
13249.RPRC006965-PA	RPRC006965-PA
13249.RPRC007068-PA	RPRC007068-PA
13249.RPRC007087-PA	RPRC007087-PA
13249.RPRC007249-PA	RPRC007249-PA
13249.RPRC007710-PA	RPRC007710-PA
13249.RPRC007784-PA	RPRC007784-PA
13249.RPRC007818-PA	RPRC007818-PA
13249.RPRC008035-PA	RPRC008035-PA
13249.RPRC008340-PA	RPRC008340-PA
13249.RPRC008389-PA	RPRC008389-PA
13249.RPRC008629-PA	RPRC008629-PA
13249.RPRC008770-PA	RPRC008770-PA
13249.RPRC009017-PA	RPRC009017-PA
13249.RPRC009109-PA	RPRC009109-PA
13249.RPRC009152-PA	RPRC009152-PA
13249.RPRC009310-PA	RPRC009310-PA
13249.RPRC009657-PA	RPRC009657-PA
13249.RPRC009812-PA	RPRC009812-PA
13249.RPRC009933-PA	RPRC009933-PA
13249.RPRC010204-PA	RPRC010204-PA
13249.RPRC010249-PA	RPRC010249-PA
13249.RPRC010381-PA	RPRC010381-PA
13249.RPRC010460-PA	RPRC010460-PA
13249.RPRC010699-PA	RPRC010699-PA
13249.RPRC010732-PA	RPRC010732-PA
13249.RPRC010913-PA	RPRC010913-PA
13249.RPRC010957-PA	RPRC010957-PA
13249.RPRC011025-PA	RPRC011025-PA
13249.RPRC011082-PA	RPRC011082-PA
13249.RPRC011135-PA	RPRC011135-PA
13249.RPRC011240-PA	RPRC011240-PA
13249.RPRC011474-PA	RPRC011474-PA
13249.RPRC011783-PA	RPRC011783-PA
13249.RPRC011790-PA	RPRC011790-PA
13249.RPRC011802-PA	RPRC011802-PA
13249.RPRC011803-PA	RPRC011803-PA
13249.RPRC012092-PA	RPRC012092-PA
13249.RPRC012232-PA	RPRC012232-PA
13249.RPRC012234-PA	RPRC012234-PA
13249.RPRC012701-PA	RPRC012701-PA
13249.RPRC012731-PA	RPRC012731-PA
13249.RPRC012827-PA	RPRC012827-PA
13249.RPRC013020-PA	RPRC013020-PA
13249.RPRC013048-PA	RPRC013048-PA
13249.RPRC013141-PA	RPRC013141-PA
13249.RPRC013255-PA	RPRC013255-PA
13249.RPRC013273-PA	RPRC013273-PA
13249.RPRC013517-PA	RPRC013517-PA
13249.RPRC013617-PA	RPRC013617-PA
13249.RPRC013698-PA	RPRC013698-PA
13249.RPRC013882-PA	RPRC013882-PA
13249.RPRC013883-PA	RPRC013883-PA
13249.RPRC014178-PA	RPRC014178-PA
13249.RPRC014256-PA	RPRC014256-PA
13249.RPRC014364-PA	RPRC014364-PA
13249.RPRC014438-PA	RPRC014438-PA
13249.RPRC014620-PA	RPRC014620-PA
13249.RPRC015263-PA	RPRC015263-PA
13249.RPRC015318-PA	RPRC015318-PA
13249.RPRC015438-PA	RPRC015438-PA
