inputGenes	preferredNames
5693.XP_803984.1	XP_803984.1
5693.XP_804011.1	XP_804011.1
5693.XP_804142.1	XP_804142.1
5693.XP_804407.1	XP_804407.1
5693.XP_804501.1	XP_804501.1
5693.XP_805247.1	XP_805247.1
5693.XP_806300.1	XP_806300.1
5693.XP_806774.1	XP_806774.1
5693.XP_806901.1	XP_806901.1
5693.XP_806988.1	XP_806988.1
5693.XP_807444.1	XP_807444.1
5693.XP_807549.1	XP_807549.1
5693.XP_807743.1	XP_807743.1
5693.XP_807798.1	XP_807798.1
5693.XP_808182.1	XP_808182.1
5693.XP_808550.1	XP_808550.1
5693.XP_808551.1	XP_808551.1
5693.XP_808565.1	XP_808565.1
5693.XP_808582.1	XP_808582.1
5693.XP_808639.1	XP_808639.1
5693.XP_808840.1	XP_808840.1
5693.XP_810237.1	XP_810237.1
5693.XP_810288.1	XP_810288.1
5693.XP_810496.1	XP_810496.1
5693.XP_810808.1	XP_810808.1
5693.XP_811406.1	XP_811406.1
5693.XP_812550.1	XP_812550.1
5693.XP_812607.1	XP_812607.1
5693.XP_812811.1	XP_812811.1
5693.XP_813143.1	XP_813143.1
5693.XP_813677.1	XP_813677.1
5693.XP_814492.1	XP_814492.1
5693.XP_814753.1	XP_814753.1
5693.XP_815148.1	XP_815148.1
5693.XP_815151.1	XP_815151.1
5693.XP_815166.1	XP_815166.1
5693.XP_815188.1	XP_815188.1
5693.XP_815498.1	XP_815498.1
5693.XP_815807.1	XP_815807.1
5693.XP_815845.1	XP_815845.1
5693.XP_816764.1	XP_816764.1
5693.XP_817716.1	XP_817716.1
5693.XP_817996.1	XP_817996.1
5693.XP_818344.1	XP_818344.1
5693.XP_818346.1	XP_818346.1
5693.XP_818353.1	XP_818353.1
5693.XP_819012.1	XP_819012.1
5693.XP_819341.1	XP_819341.1
5693.XP_819344.1	XP_819344.1
5693.XP_820670.1	XP_820670.1
5693.XP_821898.1	XP_821898.1
5693.XP_821904.1	XP_821904.1
