"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"2067","KEGG","hsa04060",39,282,9606,"9606.ENSP00000162749,9606.ENSP00000219244,9606.ENSP00000221930,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000231449,9606.ENSP00000241261,9606.ENSP00000259206,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000276431,9606.ENSP00000292303,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000302150,9606.ENSP00000303231,9606.ENSP00000304915,9606.ENSP00000305651,9606.ENSP00000306512,9606.ENSP00000312652,9606.ENSP00000330393,9606.ENSP00000332659,9606.ENSP00000344192,9606.ENSP00000354901,9606.ENSP00000356694,9606.ENSP00000362795,9606.ENSP00000365435,9606.ENSP00000375795,9606.ENSP00000385675,9606.ENSP00000386884,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000441600,9606.ENSP00000474412,9606.ENSP00000477908,9606.ENSP00000482259","TNFRSF1A,CCL17,TGFB1,CSF3,CCL2,IL2,IFNG,IL12B,IL4,TNFSF10,IL1RN,MSTN,IL1B,TNFRSF10B,CCR5,CXCL5,IL15,PRL,IL12A,IL13,CXCL10,CXCL8,LEP,LEPR,CCR4,IL17A,CXCL9,FASLG,CXCR3,TNFRSF1B,IL24,IL6,CXCR4,TNF,IL10,CCR3,CCL5,CCL3,CCL4",5.46e-24,1.83e-21,"Cytokine-cytokine receptor interaction"
"2068","KEGG","hsa04061",23,96,9606,"9606.ENSP00000162749,9606.ENSP00000219244,9606.ENSP00000225831,9606.ENSP00000226730,9606.ENSP00000241261,9606.ENSP00000276431,9606.ENSP00000292303,9606.ENSP00000296027,9606.ENSP00000305651,9606.ENSP00000306512,9606.ENSP00000332659,9606.ENSP00000354901,9606.ENSP00000362795,9606.ENSP00000365435,9606.ENSP00000375795,9606.ENSP00000385675,9606.ENSP00000386884,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000441600,9606.ENSP00000474412,9606.ENSP00000477908,9606.ENSP00000482259","TNFRSF1A,CCL17,CCL2,IL2,TNFSF10,TNFRSF10B,CCR5,CXCL5,CXCL10,CXCL8,CCR4,CXCL9,CXCR3,TNFRSF1B,IL24,IL6,CXCR4,TNF,IL10,CCR3,CCL5,CCL3,CCL4",3.58e-19,6.02e-17,"Viral protein interaction with cytokine and cytokine receptor"
"2069","KEGG","hsa04932",24,148,9606,"9606.ENSP00000162749,9606.ENSP00000203407,9606.ENSP00000221930,9606.ENSP00000252711,9606.ENSP00000263341,9606.ENSP00000263774,9606.ENSP00000268379,9606.ENSP00000306512,9606.ENSP00000312652,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000330393,9606.ENSP00000341785,9606.ENSP00000354554,9606.ENSP00000354982,9606.ENSP00000356694,9606.ENSP00000364649,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000392709,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000467262","TNFRSF1A,UQCRC1,TGFB1,NDUFA10,IL1B,NDUFS3,UQCRC2,CXCL8,LEP,NDUFV1,NDUFV2,LEPR,ADIPOR1,MT-CYB,MT-CO3,FASLG,SDHB,AKT2,IL6,ADIPOQ,NDUFS1,TNF,AKT1,UQCR11",1.54e-16,1.73e-14,"Non-alcoholic fatty liver disease"
"2070","KEGG","hsa04657",19,92,9606,"9606.ENSP00000219244,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000229135,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000296027,9606.ENSP00000299767,9606.ENSP00000304915,9606.ENSP00000305651,9606.ENSP00000306512,9606.ENSP00000322788,9606.ENSP00000335153,9606.ENSP00000344192,9606.ENSP00000361405,9606.ENSP00000362108,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000454207","CCL17,CSF3,CCL2,IFNG,IL4,IL1B,CXCL5,HSP90B1,IL13,CXCL10,CXCL8,MMP1,HSP90AA1,IL17A,MMP9,LCN2,IL6,TNF,TRAF3",5.05e-15,4.24e-13,"IL-17 signaling pathway"
"2071","KEGG","hsa05020",28,265,9606,"9606.ENSP00000203407,9606.ENSP00000239938,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263341,9606.ENSP00000263774,9606.ENSP00000268379,9606.ENSP00000270142,9606.ENSP00000301072,9606.ENSP00000301587,9606.ENSP00000322450,9606.ENSP00000324173,9606.ENSP00000327268,9606.ENSP00000339001,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000358737,9606.ENSP00000364649,9606.ENSP00000381736,9606.ENSP00000385675,9606.ENSP00000392709,9606.ENSP00000398698,9606.ENSP00000399403,9606.ENSP00000432083,9606.ENSP00000467262,9606.ENSP00000474412","UQCRC1,EGR1,NDUFA10,ATP5B,IL1B,NDUFS3,UQCRC2,SOD1,TUBA1C,ATP5H,NDUFV1,HSPA5,NDUFV2,TUBB,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,ATP5F1,SDHB,ATP5A1,IL6,NDUFS1,TNF,KLC2,HSPA8,UQCR11,CCL5",9.15e-15,6.15e-13,"Prion disease"
"2072","KEGG","hsa05142",19,99,9606,"9606.ENSP00000162749,9606.ENSP00000221930,9606.ENSP00000223095,9606.ENSP00000225831,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000306512,9606.ENSP00000327251,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000451828,9606.ENSP00000474412,9606.ENSP00000477908","TNFRSF1A,TGFB1,SERPINE1,CCL2,IL2,IFNG,IL12B,IL1B,IL12A,CXCL8,NOS2,FASLG,AKT2,IL6,TNF,IL10,AKT1,CCL5,CCL3",1.63e-14,9.1e-13,"Chagas disease"
"2073","KEGG","hsa01200",20,117,9606,"9606.ENSP00000205402,9606.ENSP00000226253,9606.ENSP00000229239,9606.ENSP00000234590,9606.ENSP00000241052,9606.ENSP00000265838,9606.ENSP00000269848,9606.ENSP00000277865,9606.ENSP00000297283,9606.ENSP00000299518,9606.ENSP00000320171,9606.ENSP00000324105,9606.ENSP00000331897,9606.ENSP00000355518,9606.ENSP00000359539,9606.ENSP00000359991,9606.ENSP00000364649,9606.ENSP00000378669,9606.ENSP00000405573,9606.ENSP00000438144","DLD,ALDOC,GAPDH,ENO1,CAT,ACAT1,PFKL,GLUD1,PGAM2,IDH3A,PKM,ENO3,IDH2,FH,GOT1,PGAM1,SDHB,ALDOA,GPI,MDH1",2.28e-14,1.09e-12,"Carbon metabolism"
"2074","KEGG","hsa01100",64,1447,9606,"9606.ENSP00000203407,9606.ENSP00000205402,9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000216605,9606.ENSP00000216951,9606.ENSP00000221476,9606.ENSP00000226253,9606.ENSP00000226299,9606.ENSP00000229239,9606.ENSP00000234590,9606.ENSP00000241052,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263368,9606.ENSP00000263774,9606.ENSP00000265838,9606.ENSP00000268379,9606.ENSP00000269848,9606.ENSP00000277865,9606.ENSP00000285093,9606.ENSP00000297283,9606.ENSP00000299198,9606.ENSP00000299518,9606.ENSP00000301587,9606.ENSP00000320171,9606.ENSP00000322450,9606.ENSP00000324105,9606.ENSP00000327251,9606.ENSP00000327268,9606.ENSP00000331897,9606.ENSP00000338703,9606.ENSP00000342026,9606.ENSP00000343657,9606.ENSP00000349577,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000355518,9606.ENSP00000358737,9606.ENSP00000359539,9606.ENSP00000359991,9606.ENSP00000360002,9606.ENSP00000361965,9606.ENSP00000362271,9606.ENSP00000364490,9606.ENSP00000364649,9606.ENSP00000370078,9606.ENSP00000370194,9606.ENSP00000378669,9606.ENSP00000379802,9606.ENSP00000381607,9606.ENSP00000381736,9606.ENSP00000392709,9606.ENSP00000404203,9606.ENSP00000405573,9606.ENSP00000407375,9606.ENSP00000415454,9606.ENSP00000423674,9606.ENSP00000438144,9606.ENSP00000438689,9606.ENSP00000467262,9606.ENSP00000481127","UQCRC1,DLD,MIF,HMOX1,MTHFD1,GSS,CKM,ALDOC,LAP3,GAPDH,ENO1,CAT,NDUFA10,ATP5B,BLVRB,NDUFS3,ACAT1,UQCRC2,PFKL,GLUD1,ACAA2,PGAM2,CKB,IDH3A,ATP5H,PKM,NDUFV1,ENO3,NOS2,NDUFV2,IDH2,UGP2,PRDX6,MCCC2,POX2,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,FH,ATP5F1,GOT1,PGAM1,GSTA4,ADA,AK1,ALDH4A1,SDHB,PDE4A,GMDS,ALDOA,AMPD3,GSTP1,ATP5A1,NDUFS1,CKMT2,GPI,GPX1,GCNT1,GNPDA1,MDH1,ACADVL,UQCR11,PRODH",3.35e-14,1.3e-12,"Metabolic pathways"
"2075","KEGG","hsa05014",31,352,9606,"9606.ENSP00000162749,9606.ENSP00000203407,9606.ENSP00000241052,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263774,9606.ENSP00000268379,9606.ENSP00000270142,9606.ENSP00000301072,9606.ENSP00000301587,9606.ENSP00000322450,9606.ENSP00000324173,9606.ENSP00000327251,9606.ENSP00000327268,9606.ENSP00000339001,9606.ENSP00000341826,9606.ENSP00000346694,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000358737,9606.ENSP00000364649,9606.ENSP00000365435,9606.ENSP00000374490,9606.ENSP00000381736,9606.ENSP00000392709,9606.ENSP00000398698,9606.ENSP00000399403,9606.ENSP00000407375,9606.ENSP00000467262","TNFRSF1A,UQCRC1,CAT,NDUFA10,ATP5B,NDUFS3,UQCRC2,SOD1,TUBA1C,ATP5H,NDUFV1,HSPA5,NOS2,NDUFV2,TUBB,HNRNPA1,HNRNPA2B1,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,ATP5F1,SDHB,TNFRSF1B,DNAH17,ATP5A1,NDUFS1,TNF,KLC2,GPX1,UQCR11",3.09e-14,1.3e-12,"Amyotrophic lateral sclerosis"
"2076","KEGG","hsa05016",27,298,9606,"9606.ENSP00000203407,9606.ENSP00000252711,9606.ENSP00000262030,9606.ENSP00000263774,9606.ENSP00000264867,9606.ENSP00000268379,9606.ENSP00000270142,9606.ENSP00000287820,9606.ENSP00000301072,9606.ENSP00000301587,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000339001,9606.ENSP00000354554,9606.ENSP00000354632,9606.ENSP00000354687,9606.ENSP00000354982,9606.ENSP00000355330,9606.ENSP00000358737,9606.ENSP00000364649,9606.ENSP00000374490,9606.ENSP00000381736,9606.ENSP00000392709,9606.ENSP00000399403,9606.ENSP00000407375,9606.ENSP00000446252,9606.ENSP00000467262","UQCRC1,NDUFA10,ATP5B,NDUFS3,PPARGC1A,UQCRC2,SOD1,PPARG,TUBA1C,ATP5H,NDUFV1,NDUFV2,TUBB,MT-CYB,MT-ATP6,MT-ND1,MT-CO3,TGM2,ATP5F1,SDHB,DNAH17,ATP5A1,NDUFS1,KLC2,GPX1,SOD2,UQCR11",8.24e-13,2.77e-11,"Huntington disease"
