inputGenes	preferredNames
5693.XP_802374.1	XP_802374.1
5693.XP_802638.1	XP_802638.1
5693.XP_802830.1	XP_802830.1
5693.XP_802833.1	XP_802833.1
5693.XP_802845.1	XP_802845.1
5693.XP_802909.1	XP_802909.1
5693.XP_803017.1	XP_803017.1
5693.XP_803065.1	XP_803065.1
5693.XP_803192.1	XP_803192.1
5693.XP_803226.1	XP_803226.1
5693.XP_804075.1	XP_804075.1
5693.XP_804087.1	XP_804087.1
5693.XP_804383.1	XP_804383.1
5693.XP_804406.1	XP_804406.1
5693.XP_804452.1	XP_804452.1
5693.XP_804486.1	XP_804486.1
5693.XP_804551.1	XP_804551.1
5693.XP_804632.1	XP_804632.1
5693.XP_804915.1	XP_804915.1
5693.XP_805161.1	XP_805161.1
5693.XP_805198.1	XP_805198.1
5693.XP_805248.1	XP_805248.1
5693.XP_805492.1	XP_805492.1
5693.XP_805625.1	XP_805625.1
5693.XP_805854.1	XP_805854.1
5693.XP_806759.1	XP_806759.1
5693.XP_807085.1	XP_807085.1
5693.XP_807153.1	XP_807153.1
5693.XP_807825.1	XP_807825.1
5693.XP_807963.1	XP_807963.1
5693.XP_807988.1	XP_807988.1
5693.XP_808190.1	XP_808190.1
5693.XP_808478.1	XP_808478.1
5693.XP_808512.1	XP_808512.1
5693.XP_808829.1	XP_808829.1
5693.XP_809491.1	XP_809491.1
5693.XP_809658.1	XP_809658.1
5693.XP_810022.1	XP_810022.1
5693.XP_810054.1	XP_810054.1
5693.XP_810234.1	XP_810234.1
5693.XP_810526.1	XP_810526.1
5693.XP_810575.1	XP_810575.1
5693.XP_810976.1	XP_810976.1
5693.XP_812282.1	XP_812282.1
5693.XP_812446.1	XP_812446.1
5693.XP_812594.1	XP_812594.1
5693.XP_812810.1	XP_812810.1
5693.XP_813569.1	XP_813569.1
5693.XP_814040.1	XP_814040.1
5693.XP_814458.1	XP_814458.1
5693.XP_816236.1	XP_816236.1
5693.XP_816531.1	XP_816531.1
5693.XP_817613.1	XP_817613.1
5693.XP_818000.1	XP_818000.1
5693.XP_818351.1	XP_818351.1
5693.XP_818355.1	XP_818355.1
5693.XP_819655.1	XP_819655.1
5693.XP_820673.1	XP_820673.1
5693.XP_820675.1	XP_820675.1
5693.XP_821901.1	XP_821901.1
5693.XP_821907.1	XP_821907.1
5693.XP_821911.1	XP_821911.1
